Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ08133S","SG7Q71940076","18 Aug 2008","21 Aug 2008","20 Nov 2008",3,2400,4098.165,"1.71","0.88","99.781","0.00","0.000","0.69","99.828"
"BQ08134H","SG7Q72940083","25 Aug 2008","28 Aug 2008","27 Nov 2008",3,2400,4060.102,"1.69","0.88","99.781","0.00","0.000","0.67","99.833"
"BQ08135T","SG7Q73940090","01 Sep 2008","04 Sep 2008","04 Dec 2008",3,2400,3623.381,"1.51","1.02","99.746","0.00","0.000","0.86","99.786"
"BQ08136X","SG7Q74940107","08 Sep 2008","11 Sep 2008","11 Dec 2008",3,2200,3837.814,"1.74","1.13","99.718","0.00","0.000","1.03","99.743"
"BQ08137W","SG7Q75940114","15 Sep 2008","18 Sep 2008","18 Dec 2008",3,2200,3651.449,"1.66","1.20","99.701","0.00","0.000","1.06","99.736"
"BQ08138N","SG7Q76940121","22 Sep 2008","25 Sep 2008","26 Dec 2008",3,2200,3723.454,"1.69","1.48","99.627","0.00","0.000","1.29","99.675"
"BQ08139V","SG7Q77940138","29 Sep 2008","02 Oct 2008","02 Jan 2009",3,2200,3103.942,"1.41","2.00","99.496","0.00","0.000","1.59","99.599"
"BQ08140H","SG7Q78940145","06 Oct 2008","09 Oct 2008","08 Jan 2009",3,2000,4406.198,"2.20","1.38","99.656","0.00","0.000","1.27","99.683"
"BQ08141T","SG7Q79940151","13 Oct 2008","16 Oct 2008","15 Jan 2009",3,2000,4992.468,"2.50","1.27","99.683","0.00","0.000","1.17","99.708"
"BQ08142X","SG7Q80940166","20 Oct 2008","23 Oct 2008","22 Jan 2009",3,2200,4708.332,"2.14","0.82","99.796","0.00","0.000","0.70","99.825"
"BQ08143W","SG7Q81940173","28 Oct 2008","30 Oct 2008","29 Jan 2009",3,2200,4158.503,"1.89","0.78","99.806","0.00","0.000","0.67","99.833"
"BY08101V","SG7P24938145","29 Oct 2008","03 Nov 2008","02 Nov 2009",12,2800,5254.721,"1.88","1.20","98.803","0.00","0.000","1.09","98.913"
"BQ08144N","SG7Q82940180","03 Nov 2008","06 Nov 2008","05 Feb 2009",3,2200,4238.829,"1.93","0.85","99.788","0.00","0.000","0.69","99.828"
"BQ08145V","SG7Q83940197","10 Nov 2008","13 Nov 2008","12 Feb 2009",3,2500,4739.68,"1.90","0.52","99.870","0.00","0.000","0.40","99.900"
"BQ08146A","SG7Q84940204","17 Nov 2008","20 Nov 2008","19 Feb 2009",3,2500,4325.449,"1.73","0.70","99.825","0.00","0.000","0.51","99.873"
