Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ06121A","SG7F10927807","29 May 2006","01 Jun 2006","31 Aug 2006",3,1500,3212.129,"2.14","2.85","99.289","0.00","0.000","2.80","99.302"
"BQ06122E","SG7F11927814","05 Jun 2006","08 Jun 2006","07 Sep 2006",3,1500,3681.57,"2.45","2.79","99.304","0.00","0.000","2.77","99.309"
"BQ06123F","SG7F12927821","12 Jun 2006","15 Jun 2006","14 Sep 2006",3,1600,3091.883,"1.93","2.70","99.327","0.00","0.000","2.68","99.332"
"BQ06124Z","SG7F13927838","19 Jun 2006","22 Jun 2006","21 Sep 2006",3,1600,3237.286,"2.02","2.70","99.327","0.00","0.000","2.68","99.332"
"BQ06125S","SG7F14927845","26 Jun 2006","29 Jun 2006","28 Sep 2006",3,1600,2845.108,"1.78","2.73","99.319","0.00","0.000","2.71","99.324"
"BQ06126H","SG7F15927851","03 Jul 2006","06 Jul 2006","05 Oct 2006",3,1600,2958.153,"1.85","2.75","99.314","0.00","0.000","2.73","99.319"
"BQ06127T","SG7H05929600","10 Jul 2006","13 Jul 2006","12 Oct 2006",3,1600,2656.228,"1.66","2.84","99.292","0.00","0.000","2.80","99.302"
"BQ06128X","SG7H06929617","17 Jul 2006","20 Jul 2006","19 Oct 2006",3,1600,2449.434,"1.53","2.94","99.267","0.00","0.000","2.90","99.277"
"BQ06129W","SG7H07929624","24 Jul 2006","27 Jul 2006","26 Oct 2006",3,1600,2760.657,"1.73","2.93","99.270","0.00","0.000","2.90","99.277"
"BQ06130Z","SG7H08929631","31 Jul 2006","03 Aug 2006","02 Nov 2006",3,1600,2300.26,"1.44","2.95","99.265","0.00","0.000","2.88","99.282"
"BQ06131S","SG7H09929648","07 Aug 2006","10 Aug 2006","09 Nov 2006",3,1600,2320.471,"1.45","3.00","99.252","0.00","0.000","2.93","99.270"
"BQ06132H","SG7H10929652","14 Aug 2006","17 Aug 2006","16 Nov 2006",3,1600,2363.559,"1.48","3.10","99.227","0.00","0.000","3.02","99.247"
"BQ06133T","SG7H11929669","21 Aug 2006","24 Aug 2006","23 Nov 2006",3,1600,2693.255,"1.68","3.15","99.215","0.00","0.000","3.10","99.227"
"BQ06134X","SG7H12929676","28 Aug 2006","31 Aug 2006","30 Nov 2006",3,1600,2309.728,"1.44","3.23","99.195","0.00","0.000","3.18","99.207"
"BQ06135W","SG7H13929683","04 Sep 2006","07 Sep 2006","07 Dec 2006",3,1600,3192.544,"2.00","3.29","99.180","0.00","0.000","3.25","99.190"
