Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BS22114E","SGXZ15080351","21 Jul 2022","26 Jul 2022","24 Jan 2023",6,4600,12174.827,"2.65","2.93","98.539","2.80","98.604","2.17","98.918"
"BY22102V","SGXZ36235596","21 Jul 2022","26 Jul 2022","25 Jul 2023",12,3700,8619.057,"2.33","3.10","96.908","2.96","97.048","2.82","97.188"
"BS22115F","SGXZ99167959","04 Aug 2022","10 Aug 2022","07 Feb 2023",6,4600,11607.417,"2.52","2.87","98.577","2.72","98.651","2.28","98.869"
"BS22116Z","SGXZ97274385","18 Aug 2022","23 Aug 2022","21 Feb 2023",6,4600,11139.86,"2.42","2.98","98.514","2.80","98.604","2.36","98.823"
"BS22117S","SGXZ33479874","01 Sep 2022","06 Sep 2022","07 Mar 2023",6,4300,11136.957,"2.59","2.99","98.509","2.85","98.579","2.48","98.763"
"BS22118H","SGXZ71644934","15 Sep 2022","20 Sep 2022","21 Mar 2023",6,4200,9097.975,"2.17","3.32","98.345","3.00","98.504","2.76","98.624"
"BS22119T","SGXZ40547002","29 Sep 2022","04 Oct 2022","04 Apr 2023",6,4000,9678.935,"2.42","3.32","98.345","3.17","98.419","2.85","98.579"
"BS22120E","SGXZ82759408","13 Oct 2022","18 Oct 2022","18 Apr 2023",6,4500,10218.759,"2.27","3.77","98.120","3.35","98.330","3.07","98.469"
"BY22103A","SGXZ18525303","13 Oct 2022","18 Oct 2022","17 Oct 2023",12,3700,8587.751,"2.32","3.72","96.290","3.30","96.709","3.28","96.729"
"BS22121F","SGXZ27657782","27 Oct 2022","01 Nov 2022","02 May 2023",6,4600,10940.082,"2.38","4.19","97.911","3.90","98.055","3.44","98.285"
"BS22122Z","SGXZ52032836","10 Nov 2022","15 Nov 2022","16 May 2023",6,4500,14243.498,"3.17","4.00","98.005","3.50","98.255","2.87","98.569"
"BS22123S","SGXZ30631881","24 Nov 2022","29 Nov 2022","30 May 2023",6,4800,11894.059,"2.48","3.90","98.055","3.50","98.255","3.26","98.374"
"BS22124H","SGXZ39766688","08 Dec 2022","13 Dec 2022","13 Jun 2023",6,4600,9339.206,"2.03","4.40","97.806","3.85","98.080","3.73","98.140"
"BS22125T","SGXZ52423183","21 Dec 2022","27 Dec 2022","27 Jun 2023",6,4400,11806.671,"2.68","4.28","97.866","4.00","98.005","3.76","98.125"
"BS23100Z","SGXZ18842542","05 Jan 2023","10 Jan 2023","11 Jul 2023",6,4700,12038.443,"2.56","4.20","97.906","4.00","98.005","3.77","98.120"
