Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BS22101H","SGXZ10864734","20 Jan 2022","25 Jan 2022","26 Jul 2022",6,4500,11625.271,"2.58","0.48","99.761","0.42","99.791","0.38","99.811"
"BY22100W","SGXZ28558039","20 Jan 2022","25 Jan 2022","24 Jan 2023",12,3200,5383.615,"1.68","0.75","99.252","0.61","99.392","0.54","99.461"
"BS22102T","SGXZ79431383","03 Feb 2022","08 Feb 2022","09 Aug 2022",6,4400,9125.187,"2.07","0.67","99.666","0.55","99.726","0.50","99.751"
"BS22103X","SGXZ67345371","17 Feb 2022","22 Feb 2022","23 Aug 2022",6,4300,10632.465,"2.47","0.76","99.621","0.68","99.661","0.56","99.721"
"BS22104W","SGXZ20662227","03 Mar 2022","08 Mar 2022","06 Sep 2022",6,3900,10261.807,"2.63","0.78","99.611","0.60","99.701","0.54","99.731"
"BS22105N","SGXZ24948721","17 Mar 2022","22 Mar 2022","20 Sep 2022",6,3900,7504.74,"1.92","0.95","99.526","0.85","99.576","0.71","99.646"
"BS22106V","SGXZ20614087","31 Mar 2022","05 Apr 2022","04 Oct 2022",6,3600,7968.275,"2.21","1.22","99.392","1.10","99.452","0.98","99.511"
"BS22107A","SGXZ14369185","13 Apr 2022","19 Apr 2022","18 Oct 2022",6,4300,8244.436,"1.92","1.32","99.342","1.19","99.407","0.84","99.581"
"BY22101N","SGXZ45308236","13 Apr 2022","19 Apr 2022","18 Apr 2023",12,3800,5519.839,"1.45","2.00","98.005","1.58","98.424","1.49","98.514"
"BS22108E","SGXZ93357168","27 Apr 2022","04 May 2022","01 Nov 2022",6,4300,10353.77,"2.41","1.56","99.226","1.47","99.271","1.28","99.365"
"BS22109F","SGXZ22646186","11 May 2022","17 May 2022","15 Nov 2022",6,4300,10425.353,"2.42","1.69","99.157","1.57","99.217","1.31","99.347"
"BS22110W","SGXZ19937341","26 May 2022","31 May 2022","29 Nov 2022",6,4500,12324.877,"2.74","1.80","99.102","1.67","99.167","1.35","99.327"
"BS22111N","SGXZ62717111","09 Jun 2022","14 Jun 2022","13 Dec 2022",6,4100,8632.968,"2.11","2.04","98.983","1.90","99.053","1.76","99.122"
"BS22112V","SGXZ10326791","23 Jun 2022","28 Jun 2022","27 Dec 2022",6,4100,9890.608,"2.41","2.36","98.823","2.19","98.908","1.97","99.018"
"BS22113A","SGXZ61747028","07 Jul 2022","12 Jul 2022","10 Jan 2023",6,4500,8503.662,"1.89","2.66","98.674","2.38","98.813","2.28","98.863"
