Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ12112Z","SG6R21976279","26 Mar 2012","29 Mar 2012","28 Jun 2012",3,4000,6868.776,"1.72","0.29","99.928","0.20","99.950","0.19","99.953"
"BQ12113S","SG6R30976369","02 Apr 2012","05 Apr 2012","05 Jul 2012",3,4000,7148.108,"1.79","0.25","99.938","0.20","99.950","0.17","99.958"
"BQ12114H","SG6R20976262","09 Apr 2012","12 Apr 2012","12 Jul 2012",3,4000,6559.024,"1.64","0.28","99.930","0.17","99.958","0.18","99.955"
"BQ12115T","SG6R19976257","16 Apr 2012","19 Apr 2012","19 Jul 2012",3,4000,7752.695,"1.94","0.22","99.945","0.15","99.963","0.16","99.960"
"BQ12116X","SG6R18976241","23 Apr 2012","26 Apr 2012","26 Jul 2012",3,4000,6973.802,"1.74","0.22","99.945","0.15","99.963","0.16","99.960"
"BY12100T","SG6R39976493","26 Apr 2012","02 May 2012","02 May 2013",12,4000,9689.489,"2.42","0.24","99.760","0.22","99.780","0.20","99.800"
"BQ12117W","SG6R17976234","30 Apr 2012","03 May 2012","02 Aug 2012",3,4000,6997.356,"1.75","0.20","99.950","0.14","99.965","0.14","99.965"
"BQ12118N","SG6R16976227","07 May 2012","10 May 2012","10 Aug 2012",3,4000,6516.811,"1.63","0.26","99.934","0.17","99.957","0.17","99.957"
"BQ12119V","SG6R15976210","14 May 2012","17 May 2012","16 Aug 2012",3,4000,5631.467,"1.41","0.30","99.925","0.20","99.950","0.20","99.950"
"BQ12120H","SG6R14976203","21 May 2012","24 May 2012","23 Aug 2012",3,4000,6151.808,"1.54","0.30","99.925","0.19","99.953","0.19","99.953"
"BQ12121T","SG6R13976196","28 May 2012","31 May 2012","30 Aug 2012",3,4000,6557.108,"1.64","0.28","99.930","0.18","99.955","0.18","99.955"
"BQ12122X","SG6R12976189","04 Jun 2012","07 Jun 2012","06 Sep 2012",3,4000,6332.265,"1.58","0.26","99.935","0.16","99.960","0.15","99.963"
"BQ12123W","SG6R11976172","11 Jun 2012","14 Jun 2012","13 Sep 2012",3,4000,6872.618,"1.72","0.25","99.938","0.20","99.950","0.17","99.958"
"BQ12124N","SG6R10976165","18 Jun 2012","21 Jun 2012","20 Sep 2012",3,4000,6200.924,"1.55","0.25","99.938","0.18","99.955","0.17","99.958"
"BQ12125V","SG6R09976150","25 Jun 2012","28 Jun 2012","27 Sep 2012",3,4000,5970.892,"1.49","0.29","99.928","0.20","99.950","0.20","99.950"
