Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ12126A","SG6U10980386","02 Jul 2012","05 Jul 2012","04 Oct 2012",3,3000,6026.441,"2.01","0.20","99.950","0.15","99.963","0.15","99.963"
"BQ12127E","SG6U11980393","09 Jul 2012","12 Jul 2012","11 Oct 2012",3,3000,6728.533,"2.24","0.20","99.950","0.15","99.963","0.13","99.968"
"BS12100F","SG6U38980657","09 Jul 2012","12 Jul 2012","10 Jan 2013",6,2000,3937.805,"1.97","0.23","99.885","0.18","99.910","0.18","99.910"
"BQ12128F","SG6U12980400","16 Jul 2012","19 Jul 2012","18 Oct 2012",3,3000,7122.177,"2.37","0.15","99.963","0.12","99.970","0.11","99.973"
"BQ12129Z","SG6U13980417","23 Jul 2012","26 Jul 2012","25 Oct 2012",3,3000,5180.782,"1.73","0.18","99.955","0.12","99.970","0.12","99.970"
"BS12101Z","SG6U39980664","23 Jul 2012","26 Jul 2012","24 Jan 2013",6,2000,3618.885,"1.81","0.19","99.905","0.17","99.915","0.15","99.925"
"BQ12130N","SG6U14980424","30 Jul 2012","02 Aug 2012","01 Nov 2012",3,3000,4983.376,"1.66","0.20","99.950","0.13","99.968","0.13","99.968"
"BQ12131V","SG6U15980431","06 Aug 2012","10 Aug 2012","08 Nov 2012",3,3000,5070.899,"1.69","0.25","99.938","0.16","99.961","0.16","99.961"
"BS12102S","SG6U40980679","06 Aug 2012","10 Aug 2012","07 Feb 2013",6,2000,3365.055,"1.68","0.28","99.861","0.18","99.911","0.19","99.906"
"BQ12132A","SG6U16980448","13 Aug 2012","16 Aug 2012","15 Nov 2012",3,3000,5506.167,"1.84","0.25","99.938","0.16","99.960","0.15","99.963"
"BQ12133E","SG6U17980454","17 Aug 2012","23 Aug 2012","22 Nov 2012",3,3000,4817.591,"1.61","0.25","99.938","0.19","99.953","0.17","99.958"
"BS12103H","SG6U41980686","17 Aug 2012","23 Aug 2012","21 Feb 2013",6,2000,3389.964,"1.69","0.30","99.850","0.27","99.865","0.24","99.880"
"BQ12134F","SG6U18980461","27 Aug 2012","30 Aug 2012","29 Nov 2012",3,3000,6527.335,"2.18","0.22","99.945","0.12","99.970","0.12","99.970"
"BQ12135Z","SG6U19980478","03 Sep 2012","06 Sep 2012","06 Dec 2012",3,3000,5624.373,"1.87","0.25","99.938","0.20","99.950","0.17","99.958"
"BS12104T","SG6U42980693","03 Sep 2012","06 Sep 2012","07 Mar 2013",6,2000,3920.027,"1.96","0.29","99.855","0.24","99.880","0.24","99.880"
