Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ07127H","SG7M43934946","09 Jul 2007","12 Jul 2007","11 Oct 2007",3,1900,3147.977,"1.66","2.20","99.452","0.00","0.000","2.13","99.469"
"BQ07128T","SG7M44934952","16 Jul 2007","19 Jul 2007","18 Oct 2007",3,1900,2911.361,"1.53","2.30","99.427","0.00","0.000","2.16","99.461"
"BQ07129X","SG7M45934969","23 Jul 2007","26 Jul 2007","25 Oct 2007",3,1900,2907.916,"1.53","2.37","99.409","0.00","0.000","2.18","99.456"
"BQ07130F","SG7M46934976","30 Jul 2007","02 Aug 2007","01 Nov 2007",3,1900,3237.147,"1.70","2.40","99.402","0.00","0.000","2.29","99.429"
"BQ07131Z","SG7M47934983","06 Aug 2007","10 Aug 2007","09 Nov 2007",3,1900,3290.339,"1.73","2.42","99.397","0.00","0.000","2.33","99.419"
"BQ07132S","SG7M48934990","13 Aug 2007","16 Aug 2007","15 Nov 2007",3,1900,3490.043,"1.84","2.50","99.377","0.00","0.000","2.31","99.424"
"BQ07133H","SG7M49935004","20 Aug 2007","23 Aug 2007","22 Nov 2007",3,1900,3935.197,"2.07","2.43","99.394","0.00","0.000","2.32","99.422"
"BQ07134T","SG7M50935018","27 Aug 2007","30 Aug 2007","29 Nov 2007",3,1900,4159.872,"2.19","2.32","99.422","0.00","0.000","2.27","99.434"
"BQ07135X","SG7M51935025","03 Sep 2007","06 Sep 2007","06 Dec 2007",3,1900,3129.048,"1.65","2.40","99.402","0.00","0.000","2.29","99.429"
"BQ07136W","SG7M52935032","10 Sep 2007","13 Sep 2007","13 Dec 2007",3,1900,3780.238,"1.99","2.29","99.429","0.00","0.000","2.23","99.444"
"BQ07137N","SG7M53935049","17 Sep 2007","20 Sep 2007","21 Dec 2007",3,1900,4160.668,"2.19","2.10","99.471","0.00","0.000","2.02","99.491"
"BQ07138V","SG7M54935055","24 Sep 2007","27 Sep 2007","27 Dec 2007",3,1900,3308.233,"1.74","2.07","99.484","0.00","0.000","1.78","99.556"
"BY07101A","SG7J25931915","26 Sep 2007","01 Oct 2007","29 Sep 2008",12,3000,6487.917,"2.16","2.16","97.846","0.00","0.000","2.11","97.896"
"BQ07139A","SG7M55935062","01 Oct 2007","04 Oct 2007","03 Jan 2008",3,1900,3112.063,"1.64","2.12","99.471","0.00","0.000","1.97","99.509"
"BQ07140T","SG7M56935079","08 Oct 2007","11 Oct 2007","10 Jan 2008",3,2100,3497.631,"1.67","2.25","99.439","0.00","0.000","2.10","99.476"
