Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ05130S","SG7B97924994","01 Aug 2005","04 Aug 2005","04 Nov 2005",3,1300,2891.608,"2.22","1.86","99.531","0.00","0.000","1.85","99.534"
"BQ05131H","SG7C00925004","08 Aug 2005","11 Aug 2005","10 Nov 2005",3,1300,2415.814,"1.86","1.87","99.534","0.00","0.000","1.86","99.536"
"BQ05132T","SG7C01925011","15 Aug 2005","18 Aug 2005","17 Nov 2005",3,1300,2759.552,"2.12","1.89","99.529","0.00","0.000","1.87","99.534"
"BQ05133X","SG7C02925028","22 Aug 2005","25 Aug 2005","24 Nov 2005",3,1300,2757.079,"2.12","1.88","99.531","0.00","0.000","1.86","99.536"
"BQ05134W","SG7C03925035","29 Aug 2005","01 Sep 2005","01 Dec 2005",3,1300,2388.576,"1.84","1.90","99.526","0.00","0.000","1.88","99.531"
"BQ05135N","SG7C04925042","05 Sep 2005","08 Sep 2005","08 Dec 2005",3,1300,2488.632,"1.91","1.94","99.516","0.00","0.000","1.91","99.524"
"BQ05136V","SG7C05925058","12 Sep 2005","15 Sep 2005","15 Dec 2005",3,1300,2253.944,"1.73","2.03","99.494","0.00","0.000","1.97","99.509"
"BQ05137A","SG7C06925065","19 Sep 2005","22 Sep 2005","22 Dec 2005",3,1300,2351.493,"1.81","2.18","99.456","0.00","0.000","2.13","99.469"
"BQ05138E","SG7C07925072","26 Sep 2005","29 Sep 2005","29 Dec 2005",3,1300,2389.189,"1.84","2.28","99.432","0.00","0.000","2.23","99.444"
"BQ05139F","SG7C08925089","03 Oct 2005","06 Oct 2005","05 Jan 2006",3,1300,3001.584,"2.31","2.26","99.437","0.00","0.000","2.24","99.442"
"BQ05140W","SG7C09925096","10 Oct 2005","13 Oct 2005","12 Jan 2006",3,1300,2619.032,"2.01","2.23","99.444","0.00","0.000","2.20","99.452"
"BQ05141N","SG7C10925101","17 Oct 2005","20 Oct 2005","19 Jan 2006",3,1300,2675.078,"2.06","2.25","99.439","0.00","0.000","2.22","99.447"
"BQ05142V","SG7C11925118","24 Oct 2005","27 Oct 2005","26 Jan 2006",3,1300,2353.221,"1.81","2.25","99.439","0.00","0.000","2.23","99.444"
"BQ05143A","SG7C12925125","31 Oct 2005","04 Nov 2005","02 Feb 2006",3,1300,2539.831,"1.95","2.38","99.413","0.00","0.000","2.32","99.428"
"BQ05144E","SG7C13925132","07 Nov 2005","10 Nov 2005","09 Feb 2006",3,1300,2688.774,"2.07","2.53","99.369","0.00","0.000","2.49","99.379"
