Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ09139N","SG7T01943403","28 Sep 2009","01 Oct 2009","31 Dec 2009",3,3400,6476.956,"1.90","0.32","99.920","0.00","0.000","0.25","99.938"
"BQ09140S","SG7S86943279","05 Oct 2009","08 Oct 2009","07 Jan 2010",3,3500,6291.858,"1.80","0.34","99.915","0.00","0.000","0.26","99.935"
"BQ09141H","SG7S87943286","12 Oct 2009","15 Oct 2009","14 Jan 2010",3,3500,5582.01,"1.59","0.40","99.900","0.00","0.000","0.31","99.923"
"BQ09142T","SG7S88943293","19 Oct 2009","22 Oct 2009","21 Jan 2010",3,3500,5805.42,"1.66","0.43","99.893","0.00","0.000","0.34","99.915"
"BQ09143X","SG7S89943300","26 Oct 2009","29 Oct 2009","28 Jan 2010",3,3500,5446.294,"1.56","0.45","99.888","0.00","0.000","0.33","99.918"
"BY09101N","SG7S27941598","28 Oct 2009","02 Nov 2009","01 Nov 2010",12,3300,6416.362,"1.94","0.60","99.402","0.00","0.000","0.53","99.471"
"BQ09144W","SG7S90943315","02 Nov 2009","05 Nov 2009","04 Feb 2010",3,3500,5864.965,"1.68","0.47","99.883","0.00","0.000","0.37","99.908"
"BQ09145N","SG7S91943322","09 Nov 2009","12 Nov 2009","11 Feb 2010",3,3500,6442.582,"1.84","0.45","99.888","0.00","0.000","0.36","99.910"
"BQ09146V","SG7S92943339","16 Nov 2009","19 Nov 2009","18 Feb 2010",3,3500,5868.163,"1.68","0.46","99.885","0.00","0.000","0.36","99.910"
"BQ09147A","SG7S93943346","23 Nov 2009","26 Nov 2009","25 Feb 2010",3,3500,6208.416,"1.77","0.44","99.890","0.00","0.000","0.35","99.913"
"BQ09148E","SG7S94943352","30 Nov 2009","03 Dec 2009","04 Mar 2010",3,3500,5841.497,"1.67","0.48","99.880","0.00","0.000","0.36","99.910"
"BQ09149F","SG7S95943369","07 Dec 2009","10 Dec 2009","11 Mar 2010",3,3500,5783.539,"1.65","0.54","99.865","0.00","0.000","0.42","99.895"
"BQ09150W","SG7S96943376","14 Dec 2009","17 Dec 2009","18 Mar 2010",3,3500,6006.961,"1.72","0.55","99.863","0.00","0.000","0.46","99.885"
"BQ09151N","SG7S97943383","21 Dec 2009","24 Dec 2009","25 Mar 2010",3,3500,6796.985,"1.94","0.52","99.870","0.00","0.000","0.45","99.888"
"BQ09152V","SG7T00943396","28 Dec 2009","31 Dec 2009","01 Apr 2010",3,3500,6203.999,"1.77","0.54","99.865","0.00","0.000","0.46","99.885"
