Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ09124A","SG7S24941567","15 Jun 2009","18 Jun 2009","17 Sep 2009",3,3200,5949.89,"1.86","0.21","99.948","0.00","0.000","0.16","99.960"
"BQ09125E","SG7S25941574","22 Jun 2009","25 Jun 2009","24 Sep 2009",3,3200,5301.845,"1.66","0.25","99.938","0.00","0.000","0.16","99.960"
"BQ09126F","SG7S73943142","29 Jun 2009","02 Jul 2009","01 Oct 2009",3,3200,5637.861,"1.76","0.26","99.935","0.00","0.000","0.19","99.953"
"BQ09127Z","SG7S74943158","06 Jul 2009","09 Jul 2009","08 Oct 2009",3,3200,6132.453,"1.92","0.27","99.933","0.00","0.000","0.18","99.955"
"BQ09128S","SG7S75943165","13 Jul 2009","16 Jul 2009","15 Oct 2009",3,3200,6706.813,"2.10","0.23","99.943","0.00","0.000","0.17","99.958"
"BQ09129H","SG7S76943172","20 Jul 2009","23 Jul 2009","22 Oct 2009",3,3200,6456.736,"2.02","0.24","99.940","0.00","0.000","0.17","99.958"
"BQ09130A","SG7S77943189","27 Jul 2009","30 Jul 2009","29 Oct 2009",3,3200,6068.622,"1.90","0.25","99.938","0.00","0.000","0.17","99.958"
"BQ09131E","SG7S78943196","03 Aug 2009","06 Aug 2009","05 Nov 2009",3,3400,5373.479,"1.58","0.30","99.925","0.00","0.000","0.19","99.953"
"BQ09132F","SG7S79943203","11 Aug 2009","13 Aug 2009","12 Nov 2009",3,3400,6133.108,"1.80","0.32","99.920","0.00","0.000","0.23","99.943"
"BQ09133Z","SG7S80943218","17 Aug 2009","20 Aug 2009","19 Nov 2009",3,3400,6572.928,"1.93","0.28","99.930","0.00","0.000","0.21","99.948"
"BQ09134S","SG7S81943225","24 Aug 2009","27 Aug 2009","26 Nov 2009",3,3400,5464.039,"1.61","0.32","99.920","0.00","0.000","0.23","99.943"
"BQ09135H","SG7S82943232","31 Aug 2009","03 Sep 2009","03 Dec 2009",3,3400,6311.024,"1.86","0.36","99.910","0.00","0.000","0.26","99.935"
"BQ09136T","SG7S83943249","07 Sep 2009","10 Sep 2009","10 Dec 2009",3,3400,6129.421,"1.80","0.36","99.910","0.00","0.000","0.27","99.933"
"BQ09137X","SG7S84943255","14 Sep 2009","17 Sep 2009","17 Dec 2009",3,3400,6333.487,"1.86","0.34","99.915","0.00","0.000","0.27","99.933"
"BQ09138W","SG7S85943262","22 Sep 2009","24 Sep 2009","24 Dec 2009",3,3400,6587.807,"1.94","0.35","99.913","0.00","0.000","0.26","99.935"
