Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ11120T","SG7Y67964205","23 May 2011","26 May 2011","25 Aug 2011",3,3900,5910.806,"1.52","0.33","99.918","0.25","99.938","0.25","99.938"
"BQ11121X","SG7Y68964212","30 May 2011","02 Jun 2011","01 Sep 2011",3,3900,6158.875,"1.58","0.33","99.918","0.25","99.938","0.24","99.940"
"BQ11122W","SG7Y69964229","06 Jun 2011","09 Jun 2011","08 Sep 2011",3,3900,6475.407,"1.66","0.31","99.923","0.21","99.948","0.20","99.950"
"BQ11123N","SG7Y70964234","13 Jun 2011","16 Jun 2011","15 Sep 2011",3,3900,6709.619,"1.72","0.30","99.925","0.25","99.938","0.21","99.948"
"BQ11124V","SG7Y71964241","20 Jun 2011","23 Jun 2011","22 Sep 2011",3,3900,6079.219,"1.56","0.31","99.923","0.23","99.943","0.22","99.945"
"BQ11125A","SG7Y72964257","27 Jun 2011","30 Jun 2011","29 Sep 2011",3,3900,7110.751,"1.82","0.29","99.928","0.20","99.950","0.19","99.953"
"BQ11126E","SG6P18970378","04 Jul 2011","07 Jul 2011","06 Oct 2011",3,3900,6823.653,"1.75","0.30","99.925","0.23","99.943","0.22","99.945"
"BQ11127F","SG6P19970385","11 Jul 2011","14 Jul 2011","13 Oct 2011",3,3900,6631.628,"1.70","0.28","99.930","0.22","99.945","0.21","99.948"
"BQ11128Z","SG6P17970361","18 Jul 2011","21 Jul 2011","20 Oct 2011",3,3900,6660.282,"1.71","0.24","99.940","0.19","99.953","0.17","99.958"
"BQ11129S","SG6P32970511","25 Jul 2011","28 Jul 2011","27 Oct 2011",3,3900,6941.697,"1.78","0.20","99.950","0.18","99.955","0.16","99.960"
"BQ11130V","SG6P20970390","01 Aug 2011","04 Aug 2011","03 Nov 2011",3,3900,6282.427,"1.61","0.20","99.950","0.14","99.965","0.13","99.968"
"BQ11131A","SG6P21970407","08 Aug 2011","11 Aug 2011","10 Nov 2011",3,3900,6095.766,"1.56","0.17","99.958","0.12","99.970","0.11","99.973"
"BQ11132E","SG6P22970414","15 Aug 2011","18 Aug 2011","17 Nov 2011",3,3900,6333.103,"1.62","0.09","99.978","0.02","99.995","0.03","99.993"
"BQ11133F","SG6P23970421","22 Aug 2011","25 Aug 2011","24 Nov 2011",3,3900,5812.937,"1.49","0.15","99.963","0.05","99.988","0.06","99.985"
"BQ11134Z","SG6P24970438","29 Aug 2011","01 Sep 2011","01 Dec 2011",3,3900,6266.054,"1.61","0.20","99.950","0.08","99.980","0.09","99.978"
