Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ07141X","SG7M57935086","15 Oct 2007","18 Oct 2007","17 Jan 2008",3,2100,3497.718,"1.67","2.34","99.417","0.00","0.000","2.21","99.449"
"BQ07142W","SG7M58935093","22 Oct 2007","25 Oct 2007","24 Jan 2008",3,2100,3622.227,"1.72","2.30","99.427","0.00","0.000","2.15","99.464"
"BQ07143N","SG7M59935100","29 Oct 2007","01 Nov 2007","31 Jan 2008",3,2100,3604.929,"1.72","2.30","99.427","0.00","0.000","2.17","99.459"
"BQ07144V","SG7M60935115","05 Nov 2007","09 Nov 2007","06 Feb 2008",3,2100,3321.524,"1.58","2.40","99.415","0.00","0.000","2.26","99.449"
"BQ07145A","SG7M61935122","12 Nov 2007","15 Nov 2007","14 Feb 2008",3,2100,3910.054,"1.86","2.35","99.414","0.00","0.000","2.23","99.444"
"BQ07146E","SG7M62935139","19 Nov 2007","22 Nov 2007","21 Feb 2008",3,2100,3884.844,"1.85","2.34","99.417","0.00","0.000","2.22","99.447"
"BQ07147F","SG7M63935146","26 Nov 2007","29 Nov 2007","28 Feb 2008",3,2100,4352.129,"2.07","2.32","99.422","0.00","0.000","2.23","99.444"
"BQ07148Z","SG7M64935152","03 Dec 2007","06 Dec 2007","06 Mar 2008",3,2100,4127.559,"1.97","2.19","99.454","0.00","0.000","2.04","99.491"
"BQ07149S","SG7M65935169","10 Dec 2007","13 Dec 2007","13 Mar 2008",3,2100,4188.482,"1.99","2.00","99.501","0.00","0.000","1.86","99.536"
"BQ07150V","SG7M66935176","17 Dec 2007","21 Dec 2007","20 Mar 2008",3,2100,3547.874,"1.69","2.00","99.507","0.00","0.000","1.78","99.561"
"BQ07151A","SG7M67935183","24 Dec 2007","27 Dec 2007","27 Mar 2008",3,2100,4114.445,"1.96","2.00","99.501","0.00","0.000","1.87","99.534"
"BQ08100A","SG7P50938522","31 Dec 2007","03 Jan 2008","03 Apr 2008",3,2100,3991.036,"1.90","2.00","99.501","0.00","0.000","1.86","99.536"
"BQ08101E","SG7P51938539","07 Jan 2008","10 Jan 2008","10 Apr 2008",3,2100,5522.761,"2.63","1.80","99.551","0.00","0.000","1.72","99.571"
"BQ08102F","SG7P52938546","14 Jan 2008","17 Jan 2008","17 Apr 2008",3,2300,5247.213,"2.28","1.55","99.614","0.00","0.000","1.46","99.636"
"BQ08103Z","SG7P53938552","21 Jan 2008","24 Jan 2008","24 Apr 2008",3,2300,4645.88,"2.02","1.59","99.604","0.00","0.000","1.47","99.634"
