Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BS23114A","SGXZ42332148","20 Jul 2023","25 Jul 2023","23 Jan 2024",6,5600,12220.205,"2.18","3.85","98.080","3.65","98.180","2.88","98.564"
"BY23102N","SGXZ94049863","27 Jul 2023","01 Aug 2023","30 Jul 2024",12,4400,9277.171,"2.11","3.74","96.270","3.50","96.510","3.09","96.918"
"BS23115E","SGXZ68145226","03 Aug 2023","08 Aug 2023","06 Feb 2024",6,5500,12297.72,"2.24","3.75","98.130","3.64","98.185","3.17","98.419"
"BS23116F","SGXZ84200740","17 Aug 2023","22 Aug 2023","20 Feb 2024",6,5600,11818.464,"2.11","3.73","98.140","3.63","98.190","2.86","98.574"
"BS23117Z","SGXZ87559985","31 Aug 2023","05 Sep 2023","05 Mar 2024",6,5500,11227.354,"2.04","3.70","98.155","3.57","98.220","2.95","98.529"
"BS23118S","SGXZ22996011","14 Sep 2023","19 Sep 2023","19 Mar 2024",6,5500,11168.171,"2.03","3.73","98.140","3.58","98.215","3.05","98.479"
"BS23119H","SGXZ95449054","28 Sep 2023","03 Oct 2023","02 Apr 2024",6,5300,9301.753,"1.76","4.07","97.971","3.62","98.195","3.51","98.250"
"BS23120A","SGXZ17695602","12 Oct 2023","17 Oct 2023","16 Apr 2024",6,5400,14725.306,"2.73","3.87","98.070","3.66","98.175","3.37","98.320"
"BY23103V","SGXZ50774546","19 Oct 2023","24 Oct 2023","22 Oct 2024",12,4500,11941.43,"2.65","3.70","96.310","3.55","96.460","3.32","96.689"
"BS23121E","SGXZ35614007","26 Oct 2023","31 Oct 2023","30 Apr 2024",6,5700,11539.439,"2.02","3.95","98.030","3.77","98.120","3.60","98.205"
"BS23122F","SGXZ66087859","08 Nov 2023","14 Nov 2023","14 May 2024",6,5700,13162.251,"2.31","3.75","98.130","3.65","98.180","2.71","98.649"
"BS23123Z","SGXZ41634486","23 Nov 2023","28 Nov 2023","28 May 2024",6,6000,13011.614,"2.17","3.80","98.105","3.63","98.190","2.90","98.554"
"BS23124S","SGXZ85619765","07 Dec 2023","12 Dec 2023","11 Jun 2024",6,5900,13287.822,"2.25","3.74","98.135","3.60","98.205","3.05","98.479"
"BS23125H","SGXZ97252035","20 Dec 2023","26 Dec 2023","25 Jun 2024",6,5600,12800.419,"2.29","3.73","98.140","3.58","98.215","2.94","98.534"
"BS24100F","SGXZ14870752","04 Jan 2024","09 Jan 2024","09 Jul 2024",6,6100,12764.31,"2.09","3.74","98.135","3.55","98.230","3.06","98.474"
