Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ06136N","SG7H14929690","11 Sep 2006","14 Sep 2006","14 Dec 2006",3,1600,3239.282,"2.02","3.21","99.200","0.00","0.000","3.16","99.212"
"BQ06137V","SG7H15929707","18 Sep 2006","21 Sep 2006","21 Dec 2006",3,1600,3312.492,"2.07","3.23","99.195","0.00","0.000","3.20","99.202"
"BQ06138A","SG7H16929714","25 Sep 2006","28 Sep 2006","28 Dec 2006",3,1600,2854.046,"1.78","3.27","99.185","0.00","0.000","3.24","99.192"
"BY06101E","SG7E29927005","27 Sep 2006","02 Oct 2006","01 Oct 2007",12,2400,5694.257,"2.37","3.21","96.799","0.00","0.000","3.16","96.849"
"BQ06139E","SG7H17929721","02 Oct 2006","05 Oct 2006","04 Jan 2007",3,1600,2111.123,"1.32","3.45","99.140","0.00","0.000","3.27","99.185"
"BQ06140X","SG7H18929738","09 Oct 2006","12 Oct 2006","11 Jan 2007",3,1600,3688.701,"2.31","3.34","99.167","0.00","0.000","3.30","99.177"
"BQ06141W","SG7H19929745","16 Oct 2006","19 Oct 2006","18 Jan 2007",3,1600,3168.343,"1.98","3.40","99.152","0.00","0.000","3.37","99.160"
"BQ06142N","SG7H20929759","23 Oct 2006","26 Oct 2006","25 Jan 2007",3,1600,4161.837,"2.60","3.37","99.160","0.00","0.000","3.34","99.167"
"BQ06143V","SG7H21929766","30 Oct 2006","02 Nov 2006","01 Feb 2007",3,1600,3953.939,"2.47","3.36","99.162","0.00","0.000","3.34","99.167"
"BQ06144A","SG7H22929773","06 Nov 2006","09 Nov 2006","08 Feb 2007",3,1600,3635.339,"2.27","3.37","99.160","0.00","0.000","3.35","99.165"
"BQ06145E","SG7H23929780","13 Nov 2006","16 Nov 2006","15 Feb 2007",3,1600,3643.019,"2.28","3.32","99.172","0.00","0.000","3.31","99.175"
"BQ06146F","SG7H24929797","20 Nov 2006","23 Nov 2006","22 Feb 2007",3,1600,4113.565,"2.57","3.19","99.205","0.00","0.000","3.17","99.210"
"BQ06147Z","SG7H25929804","27 Nov 2006","30 Nov 2006","01 Mar 2007",3,1600,3285.388,"2.05","3.05","99.240","0.00","0.000","3.02","99.247"
"BQ06148S","SG7H26929811","04 Dec 2006","07 Dec 2006","08 Mar 2007",3,1600,2982.88,"1.86","2.98","99.257","0.00","0.000","2.94","99.267"
"BQ06149H","SG7H27929828","12 Dec 2006","14 Dec 2006","15 Mar 2007",3,1600,2764.434,"1.73","3.04","99.242","0.00","0.000","2.94","99.267"
