Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ05145F","SG7C14925149","14 Nov 2005","17 Nov 2005","16 Feb 2006",3,1300,2388.156,"1.84","2.70","99.327","0.00","0.000","2.63","99.344"
"BQ05146Z","SG7C15925155","21 Nov 2005","24 Nov 2005","23 Feb 2006",3,1300,2540.922,"1.95","2.72","99.322","0.00","0.000","2.65","99.339"
"BQ05147S","SG7C16925162","28 Nov 2005","01 Dec 2005","02 Mar 2006",3,1200,2851.143,"2.38","2.70","99.327","0.00","0.000","2.66","99.337"
"BY05101F","SG7924920817","28 Nov 2005","01 Dec 2005","30 Nov 2006",12,2300,4055.85,"1.76","3.03","96.978","0.00","0.000","2.92","97.088"
"BQ05148H","SG7C17925179","05 Dec 2005","08 Dec 2005","09 Mar 2006",3,1200,2611.216,"2.18","2.68","99.332","0.00","0.000","2.66","99.337"
"BQ05149T","SG7C18925186","12 Dec 2005","15 Dec 2005","16 Mar 2006",3,1200,2388.229,"1.99","2.64","99.342","0.00","0.000","2.60","99.352"
"BQ05150E","SG7C19925193","19 Dec 2005","22 Dec 2005","23 Mar 2006",3,1200,2186.553,"1.82","2.73","99.319","0.00","0.000","2.70","99.327"
"BQ05151F","SG7C20925208","27 Dec 2005","29 Dec 2005","30 Mar 2006",3,1200,2684.246,"2.24","2.68","99.332","0.00","0.000","2.65","99.339"
"BQ06100F","SG7E87927590","03 Jan 2006","05 Jan 2006","06 Apr 2006",3,1200,2056.702,"1.71","2.73","99.319","0.00","0.000","2.67","99.334"
"BQ06101Z","SG7E88927607","09 Jan 2006","12 Jan 2006","13 Apr 2006",3,1200,2102.626,"1.75","2.74","99.317","0.00","0.000","2.69","99.329"
"BQ06102S","SG7E89927614","16 Jan 2006","19 Jan 2006","20 Apr 2006",3,1200,2848.906,"2.37","2.74","99.317","0.00","0.000","2.71","99.324"
"BQ06103H","SG7E90927629","23 Jan 2006","26 Jan 2006","27 Apr 2006",3,1200,2499.502,"2.08","2.66","99.337","0.00","0.000","2.62","99.347"
"BQ06104T","SG7E91927636","01 Feb 2006","02 Feb 2006","04 May 2006",3,1200,2480.194,"2.07","2.63","99.344","0.00","0.000","2.61","99.349"
"BQ06105X","SG7E92927643","06 Feb 2006","09 Feb 2006","11 May 2006",3,1300,2151.123,"1.65","2.70","99.327","0.00","0.000","2.64","99.342"
"BQ06106W","SG7E93927659","13 Feb 2006","16 Feb 2006","18 May 2006",3,1300,2309.011,"1.78","2.74","99.317","0.00","0.000","2.68","99.332"
