Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ10143X","SG7V97956190","01 Nov 2010","04 Nov 2010","02 Feb 2011",3,3900,7208.183,"1.85","0.27","99.933","0.20","99.951","0.21","99.948"
"BQ10144W","SG7W00956203","08 Nov 2010","11 Nov 2010","10 Feb 2011",3,3900,6162.568,"1.58","0.28","99.930","0.20","99.950","0.22","99.945"
"BQ10145N","SG7W01956210","15 Nov 2010","18 Nov 2010","17 Feb 2011",3,3900,5978.547,"1.53","0.30","99.925","0.24","99.940","0.23","99.943"
"BQ10146V","SG7W02956227","22 Nov 2010","25 Nov 2010","24 Feb 2011",3,3900,6027.945,"1.55","0.30","99.925","0.23","99.943","0.24","99.940"
"BQ10147A","SG7W06956264","29 Nov 2010","02 Dec 2010","03 Mar 2011",3,3900,5280.002,"1.35","0.40","99.900","0.26","99.935","0.27","99.933"
"BQ10148E","SG7W03956234","06 Dec 2010","09 Dec 2010","10 Mar 2011",3,3900,6824.002,"1.75","0.38","99.905","0.29","99.928","0.28","99.930"
"BQ10149F","SG7W07956271","13 Dec 2010","16 Dec 2010","17 Mar 2011",3,3900,6335.075,"1.62","0.40","99.900","0.30","99.925","0.30","99.925"
"BQ10150W","SG7W04956241","20 Dec 2010","23 Dec 2010","24 Mar 2011",3,3900,6194.146,"1.59","0.42","99.895","0.28","99.930","0.29","99.928"
"BQ10151N","SG7W05956257","27 Dec 2010","30 Dec 2010","31 Mar 2011",3,3900,6392.557,"1.64","0.40","99.900","0.33","99.918","0.31","99.923"
"BQ11100N","SG7Y47964010","03 Jan 2011","06 Jan 2011","07 Apr 2011",3,3900,6844.826,"1.76","0.38","99.905","0.32","99.920","0.30","99.925"
"BQ11101V","SG7Y48964027","10 Jan 2011","13 Jan 2011","14 Apr 2011",3,3900,7136.425,"1.83","0.35","99.913","0.30","99.925","0.29","99.928"
"BQ11102A","SG7Y49964034","17 Jan 2011","20 Jan 2011","21 Apr 2011",3,3900,7058.987,"1.81","0.35","99.913","0.29","99.928","0.28","99.930"
"BQ11103E","SG7Y50964048","24 Jan 2011","27 Jan 2011","28 Apr 2011",3,3900,7813.007,"2.00","0.34","99.915","0.28","99.930","0.26","99.935"
"BQ11104F","SG7Y51964054","31 Jan 2011","02 Feb 2011","05 May 2011",3,3900,6303.634,"1.62","0.34","99.914","0.30","99.924","0.28","99.929"
"BQ11105Z","SG7Y52964061","07 Feb 2011","10 Feb 2011","12 May 2011",3,3900,5722.09,"1.47","0.36","99.910","0.28","99.930","0.28","99.930"
