Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ08104S","SG7P54938569","28 Jan 2008","31 Jan 2008","02 May 2008",3,2300,4197.389,"1.82","1.43","99.640","0.00","0.000","1.29","99.675"
"BQ08105H","SG7P55938576","04 Feb 2008","06 Feb 2008","08 May 2008",3,2300,3812.114,"1.66","1.47","99.629","0.00","0.000","1.33","99.665"
"BQ08106T","SG7P56938583","11 Feb 2008","14 Feb 2008","15 May 2008",3,2300,4362.918,"1.90","1.47","99.634","0.00","0.000","1.37","99.658"
"BQ08107X","SG7P57938590","18 Feb 2008","21 Feb 2008","22 May 2008",3,2300,4391.665,"1.91","1.30","99.676","0.00","0.000","1.24","99.691"
"BQ08108W","SG7P58938607","25 Feb 2008","28 Feb 2008","29 May 2008",3,2300,4087.035,"1.78","1.35","99.663","0.00","0.000","1.25","99.688"
"BQ08109N","SG7P59938614","03 Mar 2008","06 Mar 2008","05 Jun 2008",3,2300,4530.983,"1.97","1.28","99.681","0.00","0.000","1.21","99.698"
"BQ08110S","SG7P60938629","10 Mar 2008","13 Mar 2008","12 Jun 2008",3,2300,4538.408,"1.97","1.13","99.718","0.00","0.000","1.05","99.738"
"BQ08111H","SG7P61938636","17 Mar 2008","20 Mar 2008","19 Jun 2008",3,2300,4194.078,"1.82","0.80","99.801","0.00","0.000","0.72","99.820"
"BQ08112T","SG7P62938643","24 Mar 2008","27 Mar 2008","26 Jun 2008",3,2300,4070.12,"1.77","1.02","99.746","0.00","0.000","0.80","99.801"
"BQ08113X","SG7P37938389","31 Mar 2008","03 Apr 2008","03 Jul 2008",3,2300,4941.25,"2.15","0.85","99.788","0.00","0.000","0.79","99.803"
"BQ08114W","SG7P38938396","07 Apr 2008","10 Apr 2008","10 Jul 2008",3,2600,4444.303,"1.71","0.85","99.788","0.00","0.000","0.66","99.835"
"BQ08115N","SG7P39938403","14 Apr 2008","17 Apr 2008","17 Jul 2008",3,2600,4189.918,"1.61","0.88","99.781","0.00","0.000","0.71","99.823"
"BQ08116V","SG7P40938418","21 Apr 2008","24 Apr 2008","24 Jul 2008",3,2600,5241.078,"2.02","0.73","99.818","0.00","0.000","0.67","99.833"
"BQ08117A","SG7P41938425","28 Apr 2008","02 May 2008","31 Jul 2008",3,2600,3724.915,"1.43","1.18","99.709","0.00","0.000","0.75","99.815"
"BY08100N","SG7P25938151","28 Apr 2008","02 May 2008","04 May 2009",12,3100,4908.954,"1.58","1.20","98.793","0.00","0.000","1.01","98.984"
