Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ10129H","SG7V83956055","26 Jul 2010","29 Jul 2010","28 Oct 2010",3,3600,6914.33,"1.92","0.29","99.928","0.23","99.943","0.23","99.943"
"BQ10130A","SG7V84956062","02 Aug 2010","05 Aug 2010","04 Nov 2010",3,3600,6108.794,"1.70","0.29","99.928","0.20","99.950","0.21","99.948"
"BQ10131E","SG7V85956079","10 Aug 2010","12 Aug 2010","11 Nov 2010",3,3700,6855.798,"1.85","0.27","99.933","0.23","99.943","0.22","99.945"
"BQ10132F","SG7V86956086","16 Aug 2010","19 Aug 2010","18 Nov 2010",3,3700,6152.354,"1.66","0.28","99.930","0.20","99.950","0.21","99.948"
"BQ10133Z","SG7V87956093","23 Aug 2010","26 Aug 2010","25 Nov 2010",3,3700,6443.151,"1.74","0.28","99.930","0.24","99.940","0.22","99.945"
"BQ10134S","SG7V88956100","30 Aug 2010","02 Sep 2010","02 Dec 2010",3,3700,6559.657,"1.77","0.28","99.930","0.24","99.940","0.23","99.943"
"BQ10135H","SG7V89956117","06 Sep 2010","09 Sep 2010","09 Dec 2010",3,3700,5967.818,"1.61","0.30","99.925","0.23","99.943","0.23","99.943"
"BQ10136T","SG7V90956122","13 Sep 2010","16 Sep 2010","16 Dec 2010",3,3700,6523.668,"1.76","0.30","99.925","0.25","99.938","0.24","99.940"
"BQ10137X","SG7V91956139","20 Sep 2010","23 Sep 2010","23 Dec 2010",3,3700,6349.403,"1.72","0.29","99.928","0.22","99.945","0.23","99.943"
"BQ10138W","SG7V92956146","27 Sep 2010","30 Sep 2010","30 Dec 2010",3,3700,6357.614,"1.72","0.28","99.930","0.23","99.943","0.23","99.943"
"BQ10139N","SG7V93956152","04 Oct 2010","07 Oct 2010","06 Jan 2011",3,3700,6170.29,"1.67","0.28","99.930","0.25","99.938","0.24","99.940"
"BQ10140S","SG7V94956169","11 Oct 2010","14 Oct 2010","13 Jan 2011",3,3700,6116.324,"1.65","0.28","99.930","0.22","99.945","0.22","99.945"
"BQ10141H","SG7V95956176","18 Oct 2010","21 Oct 2010","20 Jan 2011",3,3700,6246.482,"1.69","0.27","99.933","0.24","99.940","0.22","99.945"
"BQ10142T","SG7V96956183","25 Oct 2010","28 Oct 2010","27 Jan 2011",3,3700,5666.747,"1.53","0.29","99.928","0.22","99.945","0.22","99.945"
"BY10101N","SG7U34949440","27 Oct 2010","01 Nov 2010","01 Nov 2011",12,3600,7638.147,"2.12","0.39","99.610","0.35","99.650","0.34","99.660"
