Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ11106S","SG7Y53964078","14 Feb 2011","17 Feb 2011","19 May 2011",3,3900,6105.444,"1.57","0.35","99.913","0.28","99.930","0.28","99.930"
"BQ11107H","SG7Y54964085","21 Feb 2011","24 Feb 2011","26 May 2011",3,3900,6780.537,"1.74","0.33","99.918","0.29","99.928","0.27","99.933"
"BQ11108T","SG7Y55964092","28 Feb 2011","03 Mar 2011","02 Jun 2011",3,3900,5916.368,"1.52","0.35","99.913","0.28","99.930","0.27","99.933"
"BQ11109X","SG7Y56964109","07 Mar 2011","10 Mar 2011","09 Jun 2011",3,3900,7260.073,"1.86","0.31","99.923","0.22","99.945","0.24","99.940"
"BQ11110F","SG7Y58964115","14 Mar 2011","17 Mar 2011","16 Jun 2011",3,3900,7436.956,"1.91","0.28","99.930","0.20","99.950","0.21","99.948"
"BQ11111Z","SG7Y59964122","21 Mar 2011","24 Mar 2011","23 Jun 2011",3,3900,7536.333,"1.93","0.23","99.943","0.20","99.950","0.19","99.953"
"BQ11112S","SG7Y60964137","28 Mar 2011","31 Mar 2011","30 Jun 2011",3,3900,6854.115,"1.76","0.23","99.943","0.16","99.960","0.14","99.965"
"BQ11113H","SG7Y61964144","04 Apr 2011","07 Apr 2011","07 Jul 2011",3,3900,5865.79,"1.50","0.27","99.933","0.21","99.948","0.20","99.950"
"BQ11114T","SG7Y62964150","11 Apr 2011","14 Apr 2011","14 Jul 2011",3,3900,6771.653,"1.74","0.24","99.940","0.15","99.963","0.17","99.958"
"BQ11115X","SG7Y63964167","18 Apr 2011","21 Apr 2011","21 Jul 2011",3,3900,6365.704,"1.63","0.23","99.943","0.18","99.955","0.17","99.958"
"BQ11116W","SG7Y77964328","25 Apr 2011","28 Apr 2011","28 Jul 2011",3,3900,6053.902,"1.55","0.25","99.938","0.18","99.955","0.18","99.955"
"BY11100X","SG7Y73964264","27 Apr 2011","03 May 2011","02 May 2012",12,3600,6370.489,"1.77","0.44","99.560","0.36","99.640","0.36","99.640"
"BQ11117N","SG7Y64964174","03 May 2011","05 May 2011","04 Aug 2011",3,3900,5939.246,"1.52","0.27","99.933","0.22","99.945","0.21","99.948"
"BQ11118V","SG7Y65964181","09 May 2011","12 May 2011","11 Aug 2011",3,3900,5651.57,"1.45","0.30","99.925","0.23","99.943","0.22","99.945"
"BQ11119A","SG7Y66964198","16 May 2011","19 May 2011","18 Aug 2011",3,3900,6522.004,"1.67","0.29","99.928","0.23","99.943","0.23","99.943"
