Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BS20114Z","SGXZ90546128","23 Jul 2020","28 Jul 2020","26 Jan 2021",6,3800,7953.951,"2.09","0.27","99.865","0.21","99.895","0.16","99.920"
"BY20102E","SGXZ68557743","27 Jul 2020","30 Jul 2020","30 Jul 2021",12,2900,6507.618,"2.24","0.31","99.690","0.27","99.730","0.25","99.750"
"BS20115S","SGXZ56678576","05 Aug 2020","11 Aug 2020","09 Feb 2021",6,3500,9589.989,"2.74","0.24","99.880","0.19","99.905","0.14","99.930"
"BS20116H","SGXZ90740754","20 Aug 2020","25 Aug 2020","23 Feb 2021",6,3700,8491.057,"2.29","0.27","99.865","0.19","99.905","0.16","99.920"
"BS20117T","SGXZ39410170","03 Sep 2020","08 Sep 2020","09 Mar 2021",6,3900,7743.27,"1.99","0.26","99.870","0.20","99.900","0.17","99.915"
"BS20118X","SGXZ62747837","17 Sep 2020","22 Sep 2020","23 Mar 2021",6,3700,6958.763,"1.88","0.25","99.875","0.21","99.895","0.18","99.910"
"BS20119W","SGXZ64461627","01 Oct 2020","06 Oct 2020","06 Apr 2021",6,3100,5837.649,"1.88","0.26","99.870","0.22","99.890","0.20","99.900"
"BS20120Z","SGXZ32330193","15 Oct 2020","20 Oct 2020","20 Apr 2021",6,3500,8507.198,"2.43","0.25","99.875","0.19","99.905","0.16","99.920"
"BY20103F","SGXZ17939307","27 Oct 2020","30 Oct 2020","29 Oct 2021",12,3000,6083.078,"2.03","0.28","99.721","0.24","99.761","0.22","99.781"
"BS20121S","SGXZ86938016","29 Oct 2020","03 Nov 2020","04 May 2021",6,3800,8742.808,"2.30","0.28","99.860","0.24","99.880","0.20","99.900"
"BS20122H","SGXZ88924709","12 Nov 2020","17 Nov 2020","18 May 2021",6,3600,7240.604,"2.01","0.30","99.850","0.25","99.875","0.20","99.900"
"BS20123T","SGXZ79587358","26 Nov 2020","01 Dec 2020","01 Jun 2021",6,4200,8526.601,"2.03","0.32","99.840","0.27","99.865","0.24","99.880"
"BS20124X","SGXZ55007173","10 Dec 2020","15 Dec 2020","15 Jun 2021",6,3800,6322.726,"1.66","0.45","99.776","0.34","99.830","0.33","99.835"
"BS20125W","SGXZ46795399","23 Dec 2020","29 Dec 2020","29 Jun 2021",6,3800,8301.941,"2.18","0.38","99.811","0.33","99.835","0.28","99.860"
"BS21100H","SGXZ30686604","07 Jan 2021","12 Jan 2021","13 Jul 2021",6,3800,8176.029,"2.15","0.33","99.835","0.29","99.855","0.26","99.870"
