Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ06150A","SG7H28929835","18 Dec 2006","21 Dec 2006","22 Mar 2007",3,1600,2799.04,"1.75","3.12","99.222","0.00","0.000","3.04","99.242"
"BQ06151E","SG7H29929842","26 Dec 2006","28 Dec 2006","29 Mar 2007",3,1600,3205.394,"2.00","3.13","99.220","0.00","0.000","3.07","99.235"
"BQ07100E","SG7K22932731","03 Jan 2007","04 Jan 2007","05 Apr 2007",3,1800,4063.495,"2.26","3.10","99.227","0.00","0.000","3.02","99.247"
"BQ07101F","SG7K23932748","08 Jan 2007","11 Jan 2007","12 Apr 2007",3,1800,3442.921,"1.91","3.08","99.232","0.00","0.000","3.00","99.252"
"BQ07102Z","SG7K24932754","15 Jan 2007","18 Jan 2007","19 Apr 2007",3,1800,3316.035,"1.84","3.13","99.220","0.00","0.000","3.07","99.235"
"BQ07103S","SG7K25932761","22 Jan 2007","25 Jan 2007","26 Apr 2007",3,1800,3311.122,"1.84","3.13","99.220","0.00","0.000","3.05","99.240"
"BQ07104H","SG7K26932778","29 Jan 2007","01 Feb 2007","03 May 2007",3,1800,3492.022,"1.94","3.12","99.222","0.00","0.000","3.05","99.240"
"BQ07105T","SG7K27932785","05 Feb 2007","08 Feb 2007","10 May 2007",3,1800,3628.504,"2.02","3.11","99.225","0.00","0.000","3.07","99.235"
"BQ07106X","SG7K28932792","12 Feb 2007","15 Feb 2007","17 May 2007",3,1800,3598.852,"2.00","3.09","99.230","0.00","0.000","3.04","99.242"
"BQ07107W","SG7K29932809","21 Feb 2007","22 Feb 2007","24 May 2007",3,1800,3483.58,"1.94","3.06","99.237","0.00","0.000","3.03","99.245"
"BQ07108N","SG7K30932814","26 Feb 2007","01 Mar 2007","01 Jun 2007",3,1800,3391.504,"1.88","3.01","99.241","0.00","0.000","2.99","99.246"
"BQ07109V","SG7K31932821","05 Mar 2007","08 Mar 2007","07 Jun 2007",3,1800,3519.76,"1.96","2.80","99.302","0.00","0.000","2.78","99.307"
"BQ07110H","SG7K32932838","12 Mar 2007","15 Mar 2007","14 Jun 2007",3,1800,3465.34,"1.93","2.50","99.377","0.00","0.000","2.36","99.412"
"BQ07111T","SG7K33932845","19 Mar 2007","22 Mar 2007","21 Jun 2007",3,1800,3014.252,"1.67","2.45","99.389","0.00","0.000","2.23","99.444"
"BQ07112X","SG7K34932851","26 Mar 2007","29 Mar 2007","28 Jun 2007",3,1800,2898.102,"1.61","2.66","99.337","0.00","0.000","2.44","99.392"
