Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ12136S","SG6U20980483","10 Sep 2012","13 Sep 2012","13 Dec 2012",3,3000,5137.953,"1.71","0.27","99.933","0.20","99.950","0.17","99.958"
"BQ12137H","SG6U21980490","17 Sep 2012","20 Sep 2012","20 Dec 2012",3,3000,4446.411,"1.48","0.35","99.913","0.20","99.950","0.20","99.950"
"BS12105X","SG6U43980700","17 Sep 2012","20 Sep 2012","21 Mar 2013",6,2000,3235.022,"1.62","0.37","99.816","0.30","99.850","0.27","99.865"
"BQ12138T","SG6U22980507","24 Sep 2012","27 Sep 2012","27 Dec 2012",3,3000,6131.119,"2.04","0.29","99.928","0.10","99.975","0.14","99.965"
"BQ12139X","SG6U23980514","01 Oct 2012","04 Oct 2012","03 Jan 2013",3,2000,4021.508,"2.01","0.30","99.925","0.20","99.950","0.19","99.953"
"BS12106W","SG6U44980717","01 Oct 2012","04 Oct 2012","04 Apr 2013",6,2000,3692.167,"1.85","0.34","99.830","0.30","99.850","0.30","99.850"
"BQ12140F","SG6U24980521","08 Oct 2012","11 Oct 2012","10 Jan 2013",3,2000,5595.441,"2.80","0.20","99.950","0.15","99.963","0.13","99.968"
"BQ12141Z","SG6U25980538","15 Oct 2012","18 Oct 2012","17 Jan 2013",3,2000,4206.174,"2.10","0.15","99.963","0.10","99.975","0.08","99.980"
"BS12107N","SG6U45980724","15 Oct 2012","18 Oct 2012","18 Apr 2013",6,2000,4393.051,"2.20","0.27","99.865","0.22","99.890","0.22","99.890"
"BQ12142S","SG6U26980545","22 Oct 2012","25 Oct 2012","24 Jan 2013",3,2000,4477.994,"2.24","0.20","99.950","0.10","99.975","0.11","99.973"
"BQ12143H","SG6U27980551","29 Oct 2012","01 Nov 2012","31 Jan 2013",3,2000,3908.905,"1.95","0.22","99.945","0.15","99.963","0.13","99.968"
"BS12108V","SG6U46980731","29 Oct 2012","01 Nov 2012","02 May 2013",6,2000,3990.01,"2.00","0.28","99.860","0.25","99.875","0.22","99.890"
"BY12101X","SG6R40976508","29 Oct 2012","01 Nov 2012","01 Nov 2013",12,4000,8531.719,"2.13","0.29","99.710","0.27","99.730","0.26","99.740"
"BQ12144T","SG6U28980568","05 Nov 2012","08 Nov 2012","07 Feb 2013",3,2000,4828.538,"2.41","0.19","99.953","0.15","99.963","0.12","99.970"
"BQ12145X","SG6U29980575","12 Nov 2012","15 Nov 2012","14 Feb 2013",3,2000,3884.794,"1.94","0.20","99.950","0.15","99.963","0.12","99.970"
