Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ08147E","SG7Q85940211","24 Nov 2008","27 Nov 2008","26 Feb 2009",3,2500,4732.614,"1.89","0.65","99.838","0.00","0.000","0.51","99.873"
"BQ08148F","SG7Q86940228","01 Dec 2008","04 Dec 2008","05 Mar 2009",3,2500,4857.333,"1.94","0.65","99.838","0.00","0.000","0.48","99.880"
"BQ08149Z","SG7Q87940235","09 Dec 2008","11 Dec 2008","12 Mar 2009",3,2400,4438.198,"1.85","0.72","99.820","0.00","0.000","0.54","99.865"
"BQ08150N","SG7Q88940242","15 Dec 2008","18 Dec 2008","19 Mar 2009",3,2400,4905.483,"2.04","0.60","99.850","0.00","0.000","0.52","99.870"
"BQ08151V","SG7Q89940258","22 Dec 2008","26 Dec 2008","26 Mar 2009",3,2400,4934.357,"2.06","0.40","99.901","0.00","0.000","0.23","99.943"
"BQ09100V","SG7S00941326","29 Dec 2008","02 Jan 2009","02 Apr 2009",3,2500,4428.427,"1.77","0.68","99.832","0.00","0.000","0.41","99.899"
"BQ09101A","SG7S01941333","05 Jan 2009","08 Jan 2009","09 Apr 2009",3,2400,4725.566,"1.97","0.64","99.840","0.00","0.000","0.51","99.873"
"BQ09102E","SG7S02941340","12 Jan 2009","15 Jan 2009","16 Apr 2009",3,2000,4644.525,"2.32","0.49","99.878","0.00","0.000","0.38","99.905"
"BQ09103F","SG7S03941356","19 Jan 2009","22 Jan 2009","23 Apr 2009",3,2300,4947.291,"2.15","0.37","99.908","0.00","0.000","0.30","99.925"
"BQ09104Z","SG7S04941363","23 Jan 2009","29 Jan 2009","30 Apr 2009",3,2500,4543.71,"1.82","0.34","99.915","0.00","0.000","0.25","99.938"
"BQ09105S","SG7S05941370","02 Feb 2009","05 Feb 2009","07 May 2009",3,2500,5008.14,"2.00","0.36","99.910","0.00","0.000","0.25","99.938"
"BQ09106H","SG7S06941387","09 Feb 2009","12 Feb 2009","14 May 2009",3,2700,5713.154,"2.12","0.25","99.938","0.00","0.000","0.18","99.955"
"BQ09107T","SG7S07941394","16 Feb 2009","19 Feb 2009","21 May 2009",3,3100,6651.06,"2.15","0.23","99.943","0.00","0.000","0.16","99.960"
"BQ09108X","SG7S08941401","23 Feb 2009","26 Feb 2009","28 May 2009",3,3200,5299.532,"1.66","0.33","99.918","0.00","0.000","0.20","99.950"
"BQ09109W","SG7S09941418","02 Mar 2009","05 Mar 2009","04 Jun 2009",3,3200,6139.457,"1.92","0.35","99.913","0.00","0.000","0.26","99.935"
