Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BY15101S","SG6TI7000001","28 Oct 2015","02 Nov 2015","01 Nov 2016",12,4300,8080.989,"1.88","1.28","98.720","1.10","98.900","1.09","98.910"
"BY16100F","SG6ZF8000003","27 Apr 2016","03 May 2016","01 May 2017",12,4500,8042.82,"1.79","1.00","99.005","0.84","99.165","0.84","99.165"
"BY16101Z","SG6ZF9000002","27 Oct 2016","01 Nov 2016","01 Nov 2017",12,4500,8507.048,"1.89","0.94","99.060","0.83","99.170","0.80","99.200"
"BY17100E","SG76D1000009","25 Jan 2017","31 Jan 2017","31 Jan 2018",12,2200,5016.553,"2.28","1.05","98.950","0.98","99.020","0.98","99.020"
"BY17101F","SG76D2000008","26 Apr 2017","02 May 2017","30 Apr 2018",12,2500,6044.646,"2.42","1.03","98.976","1.00","99.005","0.96","99.045"
"BY17102Z","SG76D3000007","26 Jul 2017","31 Jul 2017","31 Jul 2018",12,2300,4638.605,"2.02","1.24","98.760","1.17","98.830","1.13","98.870"
"BY17103S","SG76D4000006","27 Oct 2017","01 Nov 2017","31 Oct 2018",12,2500,5050.797,"2.02","1.37","98.634","1.32","98.684","1.22","98.783"
"BY18100A","SG7ID0000000","26 Jan 2018","31 Jan 2018","31 Jan 2019",12,2500,5236.97,"2.09","1.38","98.620","1.28","98.720","1.22","98.780"
"BY18101E","SG7IC9000003","25 Apr 2018","30 Apr 2018","30 Apr 2019",12,2600,7326.025,"2.82","1.76","98.240","1.69","98.310","1.62","98.380"
"BY18102F","SG7IC8000004","26 Jul 2018","31 Jul 2018","31 Jul 2019",12,2500,6041.488,"2.42","1.74","98.260","1.70","98.300","1.59","98.410"
"BY18103Z","SG7IC7000005","26 Oct 2018","31 Oct 2018","31 Oct 2019",12,2600,5305.196,"2.04","1.97","98.030","1.94","98.060","1.85","98.150"
"BY19100V","SGXZ18173260","28 Jan 2019","31 Jan 2019","31 Jan 2020",12,2700,5465.172,"2.02","2.06","97.940","1.99","98.010","1.97","98.030"
"BY19101A","SGXZ77243681","25 Apr 2019","30 Apr 2019","30 Apr 2020",12,2800,8277.384,"2.96","1.97","98.025","1.90","98.095","1.61","98.386"
"BS19100T","SGXZ55947717","27 Jun 2019","02 Jul 2019","31 Dec 2019",6,3700,9504.034,"2.57","1.93","99.038","1.90","99.053","1.73","99.137"
"BS19101X","SGXZ13898291","11 Jul 2019","16 Jul 2019","14 Jan 2020",6,3800,11818.513,"3.11","1.80","99.102","1.77","99.117","1.60","99.202"
