Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ10115W","SG7U09949128","19 Apr 2010","22 Apr 2010","22 Jul 2010",3,3500,5654.587,"1.62","0.35","99.913","0.25","99.938","0.26","99.935"
"BQ10116N","SG7U25949284","26 Apr 2010","29 Apr 2010","29 Jul 2010",3,3500,7457.658,"2.13","0.32","99.920","0.26","99.935","0.26","99.935"
"BY10100W","SG7U35949456","28 Apr 2010","03 May 2010","03 May 2011",12,3600,7368.894,"2.05","0.50","99.500","0.42","99.580","0.41","99.590"
"BQ10117V","SG7U28949315","03 May 2010","06 May 2010","05 Aug 2010",3,3500,7035.181,"2.01","0.30","99.925","0.22","99.945","0.23","99.943"
"BQ10118A","SG7U24949277","10 May 2010","13 May 2010","12 Aug 2010",3,3600,7119.703,"1.98","0.30","99.925","0.23","99.943","0.23","99.943"
"BQ10119E","SG7U23949260","17 May 2010","20 May 2010","19 Aug 2010",3,3600,6874.325,"1.91","0.27","99.933","0.20","99.950","0.21","99.948"
"BQ10120X","SG7U22949253","24 May 2010","27 May 2010","26 Aug 2010",3,3600,6002.027,"1.67","0.30","99.925","0.22","99.945","0.22","99.945"
"BQ10121W","SG7U21949247","31 May 2010","03 Jun 2010","02 Sep 2010",3,3600,6508.977,"1.81","0.28","99.930","0.20","99.950","0.22","99.945"
"BQ10122N","SG7U29949322","07 Jun 2010","10 Jun 2010","09 Sep 2010",3,3600,5843.588,"1.62","0.31","99.923","0.23","99.943","0.22","99.945"
"BQ10123V","SG7U30949337","14 Jun 2010","17 Jun 2010","16 Sep 2010",3,3600,5690.166,"1.58","0.34","99.915","0.27","99.933","0.25","99.938"
"BQ10124A","SG7U08949111","21 Jun 2010","24 Jun 2010","23 Sep 2010",3,3600,6833.643,"1.90","0.30","99.925","0.23","99.943","0.24","99.940"
"BQ10125E","SG7V79956010","28 Jun 2010","01 Jul 2010","30 Sep 2010",3,3600,5326.415,"1.48","0.35","99.913","0.28","99.930","0.27","99.933"
"BQ10126F","SG7V80956025","05 Jul 2010","08 Jul 2010","07 Oct 2010",3,3600,5821.488,"1.62","0.34","99.915","0.28","99.930","0.27","99.933"
"BQ10127Z","SG7V81956032","12 Jul 2010","15 Jul 2010","14 Oct 2010",3,3600,6340.096,"1.76","0.32","99.920","0.22","99.945","0.24","99.940"
"BQ10128S","SG7V82956049","19 Jul 2010","22 Jul 2010","21 Oct 2010",3,3600,6363.422,"1.77","0.32","99.920","0.25","99.938","0.24","99.940"
