Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ08118E","SG7P42938432","05 May 2008","08 May 2008","07 Aug 2008",3,2600,4721.903,"1.82","0.90","99.776","0.00","0.000","0.74","99.816"
"BQ08119F","SG7P43938449","12 May 2008","15 May 2008","14 Aug 2008",3,2600,4387.661,"1.69","0.94","99.766","0.00","0.000","0.79","99.803"
"BQ08120W","SG7P44938455","20 May 2008","22 May 2008","21 Aug 2008",3,2600,4515.961,"1.74","0.89","99.778","0.00","0.000","0.74","99.816"
"BQ08121N","SG7P45938462","26 May 2008","29 May 2008","28 Aug 2008",3,2600,4432.517,"1.70","0.93","99.768","0.00","0.000","0.78","99.806"
"BQ08122V","SG7P46938479","02 Jun 2008","05 Jun 2008","04 Sep 2008",3,2600,5008.46,"1.93","0.88","99.781","0.00","0.000","0.77","99.808"
"BQ08123A","SG7P47938486","09 Jun 2008","12 Jun 2008","11 Sep 2008",3,2600,5163.955,"1.99","0.82","99.796","0.00","0.000","0.73","99.818"
"BQ08124E","SG7P48938493","16 Jun 2008","19 Jun 2008","18 Sep 2008",3,2300,5386.821,"2.34","0.70","99.825","0.00","0.000","0.62","99.845"
"BQ08125F","SG7P49938500","23 Jun 2008","26 Jun 2008","25 Sep 2008",3,2300,4430.086,"1.93","0.40","99.900","0.00","0.000","0.27","99.933"
"BQ08126Z","SG7Q64940000","30 Jun 2008","03 Jul 2008","02 Oct 2008",3,2300,3991.068,"1.74","0.53","99.868","0.00","0.000","0.33","99.918"
"BQ08127S","SG7Q65940017","07 Jul 2008","10 Jul 2008","09 Oct 2008",3,2400,4273.855,"1.78","0.40","99.900","0.00","0.000","0.29","99.928"
"BQ08128H","SG7Q66940024","14 Jul 2008","17 Jul 2008","16 Oct 2008",3,2400,4048.346,"1.69","0.38","99.905","0.00","0.000","0.29","99.928"
"BQ08129T","SG7Q67940031","21 Jul 2008","24 Jul 2008","23 Oct 2008",3,2400,4493.643,"1.87","0.33","99.918","0.00","0.000","0.25","99.938"
"BQ08130E","SG7Q68940048","28 Jul 2008","31 Jul 2008","30 Oct 2008",3,2400,3610.121,"1.50","0.45","99.888","0.00","0.000","0.29","99.928"
"BQ08131F","SG7Q69940054","04 Aug 2008","07 Aug 2008","06 Nov 2008",3,2400,4101.252,"1.71","0.45","99.888","0.00","0.000","0.32","99.920"
"BQ08132Z","SG7Q70940069","11 Aug 2008","14 Aug 2008","13 Nov 2008",3,2400,3479.989,"1.45","0.68","99.830","0.00","0.000","0.47","99.883"
