Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ07113W","SG7K35932868","02 Apr 2007","05 Apr 2007","05 Jul 2007",3,1800,3565.946,"1.98","2.54","99.367","0.00","0.000","2.46","99.387"
"BQ07114N","SG7K08932598","09 Apr 2007","12 Apr 2007","12 Jul 2007",3,1900,3771.15,"1.98","2.35","99.414","0.00","0.000","2.26","99.437"
"BQ07115V","SG7K09932605","16 Apr 2007","19 Apr 2007","19 Jul 2007",3,1900,3362.546,"1.77","2.20","99.452","0.00","0.000","2.10","99.476"
"BQ07116A","SG7K10932610","23 Apr 2007","26 Apr 2007","26 Jul 2007",3,1900,4239.923,"2.23","1.94","99.516","0.00","0.000","1.86","99.536"
"BY07100V","SG7J24931908","26 Apr 2007","02 May 2007","30 Apr 2008",12,2800,3917.812,"1.40","2.45","97.557","0.00","0.000","2.10","97.906"
"BQ07117E","SG7K11932627","30 Apr 2007","03 May 2007","02 Aug 2007",3,1900,3574.646,"1.88","2.25","99.439","0.00","0.000","2.06","99.486"
"BQ07118F","SG7K12932634","07 May 2007","10 May 2007","10 Aug 2007",3,1900,3756.211,"1.98","2.30","99.420","0.00","0.000","2.18","99.451"
"BQ07119Z","SG7K13932641","14 May 2007","17 May 2007","16 Aug 2007",3,1900,3786.483,"1.99","2.18","99.456","0.00","0.000","2.11","99.474"
"BQ07120N","SG7K14932657","21 May 2007","24 May 2007","23 Aug 2007",3,1900,4292.91,"2.26","1.80","99.551","0.00","0.000","1.76","99.561"
"BQ07121V","SG7K15932664","28 May 2007","01 Jun 2007","30 Aug 2007",3,1900,3851.3,"2.03","1.85","99.544","0.00","0.000","1.78","99.561"
"BQ07122A","SG7K16932671","04 Jun 2007","07 Jun 2007","06 Sep 2007",3,1900,3119.749,"1.64","2.00","99.501","0.00","0.000","1.87","99.534"
"BQ07123E","SG7K17932688","11 Jun 2007","14 Jun 2007","13 Sep 2007",3,1900,3088.43,"1.63","2.15","99.464","0.00","0.000","1.97","99.509"
"BQ07124F","SG7K18932695","18 Jun 2007","21 Jun 2007","20 Sep 2007",3,1900,3121.658,"1.64","2.25","99.439","0.00","0.000","2.11","99.474"
"BQ07125Z","SG7K19932702","25 Jun 2007","28 Jun 2007","27 Sep 2007",3,1900,3274.431,"1.72","2.24","99.442","0.00","0.000","2.11","99.474"
"BQ07126S","SG7K20932717","02 Jul 2007","05 Jul 2007","04 Oct 2007",3,1900,3605.831,"1.90","2.15","99.464","0.00","0.000","2.07","99.484"
