Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ06107N","SG7E94927666","20 Feb 2006","23 Feb 2006","25 May 2006",3,1300,2568.719,"1.98","2.73","99.319","0.00","0.000","2.68","99.332"
"BQ06108V","SG7E95927673","27 Feb 2006","02 Mar 2006","01 Jun 2006",3,1300,2132.791,"1.64","2.82","99.297","0.00","0.000","2.76","99.312"
"BQ06109A","SG7E96927680","06 Mar 2006","09 Mar 2006","08 Jun 2006",3,1300,2227.251,"1.71","2.92","99.272","0.00","0.000","2.85","99.289"
"BQ06110T","SG7E97927697","13 Mar 2006","16 Mar 2006","15 Jun 2006",3,1300,2426.869,"1.87","2.95","99.265","0.00","0.000","2.91","99.274"
"BQ06111X","SG7F00927700","20 Mar 2006","23 Mar 2006","22 Jun 2006",3,1300,2659.778,"2.05","2.93","99.270","0.00","0.000","2.90","99.277"
"BQ06112W","SG7F01927717","27 Mar 2006","30 Mar 2006","29 Jun 2006",3,1300,3105.706,"2.39","2.89","99.279","0.00","0.000","2.87","99.284"
"BQ06113N","SG7F02927724","03 Apr 2006","06 Apr 2006","06 Jul 2006",3,1300,2309.064,"1.78","2.89","99.279","0.00","0.000","2.86","99.287"
"BQ06114V","SG7F03927731","10 Apr 2006","13 Apr 2006","13 Jul 2006",3,1300,2874.991,"2.21","2.88","99.282","0.00","0.000","2.87","99.284"
"BQ06115A","SG7F04927748","17 Apr 2006","20 Apr 2006","20 Jul 2006",3,1300,2716.125,"2.09","2.87","99.284","0.00","0.000","2.86","99.287"
"BQ06116E","SG7F05927754","24 Apr 2006","27 Apr 2006","27 Jul 2006",3,1300,2622.826,"2.02","2.85","99.289","0.00","0.000","2.82","99.297"
"BY06100A","SG7E28926990","26 Apr 2006","02 May 2006","02 May 2007",12,2600,4492.963,"1.73","3.06","96.940","0.00","0.000","3.02","96.980"
"BQ06117F","SG7F06927761","02 May 2006","04 May 2006","03 Aug 2006",3,1300,2632.946,"2.03","2.93","99.270","0.00","0.000","2.91","99.274"
"BQ06118Z","SG7F07927778","08 May 2006","11 May 2006","10 Aug 2006",3,1500,2829.064,"1.89","2.98","99.257","0.00","0.000","2.95","99.265"
"BQ06119S","SG7F08927785","15 May 2006","18 May 2006","17 Aug 2006",3,1500,2708.281,"1.81","2.99","99.255","0.00","0.000","2.96","99.262"
"BQ06120V","SG7F09927792","22 May 2006","25 May 2006","24 Aug 2006",3,1500,3228.849,"2.15","2.93","99.270","0.00","0.000","2.92","99.272"
