Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BS12109A","SG6U47980748","12 Nov 2012","15 Nov 2012","16 May 2013",6,2000,4286.023,"2.14","0.27","99.865","0.23","99.885","0.22","99.890"
"BQ12146W","SG6U30980580","19 Nov 2012","22 Nov 2012","21 Feb 2013",3,2000,4362.187,"2.18","0.19","99.953","0.13","99.968","0.12","99.970"
"BQ12147N","SG6U31980597","26 Nov 2012","29 Nov 2012","28 Feb 2013",3,2000,3612.139,"1.81","0.25","99.938","0.15","99.963","0.14","99.965"
"BS12110T","SG6U48980754","26 Nov 2012","29 Nov 2012","30 May 2013",6,2000,3863.521,"1.93","0.28","99.860","0.26","99.870","0.24","99.880"
"BQ12148V","SG6U32980604","03 Dec 2012","06 Dec 2012","07 Mar 2013",3,2000,4772.647,"2.39","0.22","99.945","0.14","99.965","0.13","99.968"
"BQ12149A","SG6U33980611","10 Dec 2012","13 Dec 2012","14 Mar 2013",3,2000,4809.922,"2.40","0.18","99.955","0.15","99.963","0.13","99.968"
"BS12111X","SG6U49980761","10 Dec 2012","13 Dec 2012","13 Jun 2013",6,2000,3831.402,"1.92","0.28","99.860","0.27","99.865","0.25","99.875"
"BQ12150T","SG6U34980628","17 Dec 2012","20 Dec 2012","21 Mar 2013",3,2000,4312.724,"2.16","0.20","99.950","0.09","99.978","0.10","99.975"
"BQ12151X","SG6U35980635","24 Dec 2012","27 Dec 2012","28 Mar 2013",3,2000,3894.057,"1.95","0.17","99.958","0.10","99.975","0.10","99.975"
"BS12112W","SG6U50980775","24 Dec 2012","27 Dec 2012","27 Jun 2013",6,2000,3868.876,"1.93","0.29","99.855","0.27","99.865","0.25","99.875"
"BQ13100X","SG6X28986729","31 Dec 2012","03 Jan 2013","04 Apr 2013",3,2000,3798.938,"1.90","0.26","99.935","0.11","99.973","0.13","99.968"
"BQ13101W","SG6X29986736","07 Jan 2013","10 Jan 2013","11 Apr 2013",3,2000,3246.504,"1.62","0.25","99.938","0.10","99.975","0.10","99.975"
"BS13100E","SG6X39986833","07 Jan 2013","10 Jan 2013","11 Jul 2013",6,2000,3653.311,"1.83","0.29","99.855","0.27","99.865","0.24","99.880"
"BQ13102N","SG6X30986741","14 Jan 2013","17 Jan 2013","18 Apr 2013",3,2000,4289.477,"2.14","0.19","99.953","0.10","99.975","0.09","99.978"
"BQ13103V","SG6X31986757","21 Jan 2013","24 Jan 2013","25 Apr 2013",3,2000,3366.919,"1.68","0.23","99.943","0.15","99.963","0.14","99.965"
