Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ09110Z","SG7S10941423","09 Mar 2009","12 Mar 2009","11 Jun 2009",3,3000,6549.015,"2.18","0.28","99.930","0.00","0.000","0.21","99.948"
"BQ09111S","SG7S11941430","16 Mar 2009","19 Mar 2009","18 Jun 2009",3,3000,5615.383,"1.87","0.31","99.923","0.00","0.000","0.20","99.950"
"BQ09112H","SG7S12941447","23 Mar 2009","26 Mar 2009","25 Jun 2009",3,3000,5830.133,"1.94","0.32","99.920","0.00","0.000","0.25","99.938"
"BQ09113T","SG7S13941453","30 Mar 2009","02 Apr 2009","02 Jul 2009",3,3000,5827.806,"1.94","0.29","99.928","0.00","0.000","0.23","99.943"
"BQ09114X","SG7S14941460","06 Apr 2009","09 Apr 2009","09 Jul 2009",3,3000,5232.786,"1.74","0.30","99.925","0.00","0.000","0.21","99.948"
"BQ09115W","SG7S15941477","13 Apr 2009","16 Apr 2009","16 Jul 2009",3,2800,5004.47,"1.79","0.30","99.925","0.00","0.000","0.23","99.943"
"BQ09116N","SG7S16941484","20 Apr 2009","23 Apr 2009","23 Jul 2009",3,2800,5883.709,"2.10","0.27","99.933","0.00","0.000","0.20","99.950"
"BQ09117V","SG7S17941491","27 Apr 2009","30 Apr 2009","30 Jul 2009",3,2800,6462.093,"2.31","0.21","99.948","0.00","0.000","0.15","99.963"
"BY09100W","SG7S26941581","28 Apr 2009","04 May 2009","03 May 2010",12,3300,7114.053,"2.16","0.31","99.691","0.00","0.000","0.28","99.721"
"BQ09118A","SG7S18941508","04 May 2009","07 May 2009","06 Aug 2009",3,3000,6049.54,"2.02","0.19","99.953","0.00","0.000","0.13","99.968"
"BQ09119E","SG7S19941515","11 May 2009","14 May 2009","13 Aug 2009",3,3200,6517.771,"2.04","0.23","99.943","0.00","0.000","0.16","99.960"
"BQ09120X","SG7S20941520","18 May 2009","21 May 2009","20 Aug 2009",3,3200,6637.025,"2.07","0.21","99.948","0.00","0.000","0.15","99.963"
"BQ09121W","SG7S21941537","25 May 2009","28 May 2009","27 Aug 2009",3,3200,6434.955,"2.01","0.19","99.953","0.00","0.000","0.15","99.963"
"BQ09122N","SG7S22941544","01 Jun 2009","04 Jun 2009","03 Sep 2009",3,3200,7039.487,"2.20","0.17","99.958","0.00","0.000","0.13","99.968"
"BQ09123V","SG7S23941550","08 Jun 2009","11 Jun 2009","10 Sep 2009",3,3300,6148.48,"1.86","0.25","99.938","0.00","0.000","0.16","99.960"
