Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BS20101X","SGXZ24125775","22 Jan 2020","28 Jan 2020","28 Jul 2020",6,3800,10031.681,"2.64","1.53","99.237","1.50","99.252","1.36","99.322"
"BY20100V","SGXZ46656534","28 Jan 2020","31 Jan 2020","29 Jan 2021",12,2900,8832.722,"3.05","1.44","98.564","1.40","98.604","1.34","98.664"
"BS20102W","SGXZ13547757","06 Feb 2020","11 Feb 2020","11 Aug 2020",6,3400,9711.348,"2.86","1.61","99.197","1.56","99.222","1.33","99.337"
"BS20103N","SGXZ88952916","20 Feb 2020","25 Feb 2020","25 Aug 2020",6,3700,9507.77,"2.57","1.58","99.212","1.49","99.257","1.26","99.372"
"BS20104V","SGXZ63272140","05 Mar 2020","10 Mar 2020","08 Sep 2020",6,3900,12280.666,"3.15","1.04","99.481","0.97","99.516","0.78","99.611"
"BS20105A","SGXZ47738703","19 Mar 2020","24 Mar 2020","22 Sep 2020",6,3700,6545.639,"1.77","1.40","99.302","0.95","99.526","0.83","99.586"
"BS20106E","SGXZ85476646","02 Apr 2020","07 Apr 2020","06 Oct 2020",6,3000,8089.034,"2.70","0.70","99.651","0.55","99.726","0.50","99.751"
"BS20107F","SGXZ82421181","16 Apr 2020","21 Apr 2020","20 Oct 2020",6,3500,10479.782,"2.99","0.55","99.726","0.47","99.766","0.38","99.811"
"BY20101A","SGXZ37529781","27 Apr 2020","30 Apr 2020","30 Apr 2021",12,3000,8278.774,"2.76","0.45","99.550","0.34","99.660","0.34","99.660"
"BS20108Z","SGXZ19435908","29 Apr 2020","05 May 2020","03 Nov 2020",6,3800,9277.948,"2.44","0.40","99.801","0.37","99.816","0.32","99.840"
"BS20109S","SGXZ54113154","14 May 2020","19 May 2020","17 Nov 2020",6,3600,11609.804,"3.22","0.20","99.900","0.10","99.950","0.12","99.940"
"BS20110V","SGXZ43218304","28 May 2020","02 Jun 2020","01 Dec 2020",6,4200,9147.387,"2.18","0.23","99.885","0.16","99.920","0.15","99.925"
"BS20111A","SGXZ14761480","11 Jun 2020","16 Jun 2020","15 Dec 2020",6,3800,8570.67,"2.26","0.24","99.880","0.20","99.900","0.17","99.915"
"BS20112E","SGXZ91660647","25 Jun 2020","30 Jun 2020","29 Dec 2020",6,3800,9129.846,"2.40","0.30","99.850","0.26","99.870","0.24","99.880"
"BS20113F","SGXZ93643161","09 Jul 2020","14 Jul 2020","12 Jan 2021",6,3800,8844.249,"2.33","0.26","99.870","0.22","99.890","0.20","99.900"
