Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BS13115V","SG55C1991286","05 Aug 2013","12 Aug 2013","07 Feb 2014",6,2800,5805.184,"2.07","0.30","99.853","0.25","99.877","0.22","99.892"
"BS13116A","SG55C2991293","19 Aug 2013","22 Aug 2013","21 Feb 2014",6,2800,5022.868,"1.79","0.30","99.850","0.23","99.885","0.21","99.895"
"BS13117E","SG55C3991300","02 Sep 2013","05 Sep 2013","07 Mar 2014",6,2800,5205.707,"1.86","0.29","99.855","0.28","99.860","0.25","99.875"
"BS13118F","SG55C4991317","16 Sep 2013","19 Sep 2013","21 Mar 2014",6,2800,4596.937,"1.64","0.30","99.850","0.28","99.860","0.24","99.880"
"BS13119Z","SG55C5991324","30 Sep 2013","04 Oct 2013","04 Apr 2014",6,2000,4216.054,"2.11","0.29","99.855","0.25","99.875","0.23","99.885"
"BS13120N","SG55C6991331","14 Oct 2013","18 Oct 2013","21 Apr 2014",6,2000,3399.884,"1.70","0.30","99.848","0.26","99.868","0.22","99.888"
"BS13121V","SG55C7991348","28 Oct 2013","01 Nov 2013","02 May 2014",6,2000,4274.869,"2.14","0.28","99.860","0.23","99.885","0.22","99.890"
"BY13101T","SG6X06986170","29 Oct 2013","01 Nov 2013","31 Oct 2014",12,4000,8767.621,"2.19","0.28","99.721","0.26","99.741","0.26","99.741"
"BS13122A","SG55C8991354","11 Nov 2013","15 Nov 2013","16 May 2014",6,2000,4155.721,"2.08","0.28","99.860","0.21","99.895","0.21","99.895"
"BS13123E","SG55C9991361","25 Nov 2013","29 Nov 2013","30 May 2014",6,2000,4007.523,"2.00","0.29","99.855","0.15","99.925","0.18","99.910"
"BS13124F","SG55D0991376","09 Dec 2013","13 Dec 2013","13 Jun 2014",6,2000,3952.385,"1.98","0.28","99.860","0.20","99.900","0.18","99.910"
"BS13125Z","SG55D1991383","23 Dec 2013","27 Dec 2013","27 Jun 2014",6,2000,3996.632,"2.00","0.30","99.850","0.25","99.875","0.21","99.895"
"BY14100S","SG58F4998236","28 Apr 2014","02 May 2014","02 May 2015",12,4000,8343.49,"2.09","0.38","99.620","0.34","99.660","0.32","99.680"
"BY14101H","SG58F3998229","29 Oct 2014","03 Nov 2014","01 Nov 2015",12,4000,8472.161,"2.12","0.39","99.612","0.35","99.652","0.35","99.652"
"BY15100Z","SG6TI6000002","28 Apr 2015","04 May 2015","02 May 2016",12,4200,8127.062,"1.94","0.99","99.013","0.85","99.152","0.81","99.192"
