Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BS21114F","SGXZ42739318","22 Jul 2021","27 Jul 2021","25 Jan 2022",6,4000,8111.806,"2.03","0.32","99.840","0.28","99.860","0.23","99.885"
"BY21102A","SGXZ79116919","22 Jul 2021","27 Jul 2021","26 Jul 2022",12,3700,7667.723,"2.07","0.35","99.651","0.28","99.721","0.23","99.771"
"BS21115Z","SGXZ61556213","04 Aug 2021","10 Aug 2021","08 Feb 2022",6,4000,8180.22,"2.05","0.32","99.840","0.27","99.865","0.25","99.875"
"BS21116S","SGXZ84287846","19 Aug 2021","24 Aug 2021","22 Feb 2022",6,4000,8233.046,"2.06","0.30","99.850","0.27","99.865","0.23","99.885"
"BS21117H","SGXZ42529180","02 Sep 2021","07 Sep 2021","08 Mar 2022",6,3900,7833.223,"2.01","0.30","99.850","0.27","99.865","0.22","99.890"
"BS21118T","SGXZ45670015","16 Sep 2021","21 Sep 2021","22 Mar 2022",6,3900,7314.205,"1.88","0.30","99.850","0.27","99.865","0.24","99.880"
"BS21119X","SGXZ37312097","30 Sep 2021","05 Oct 2021","05 Apr 2022",6,3800,6236.803,"1.64","0.36","99.820","0.30","99.850","0.29","99.855"
"BS21120F","SGXZ27776087","14 Oct 2021","19 Oct 2021","19 Apr 2022",6,4000,8713.912,"2.18","0.37","99.816","0.32","99.840","0.29","99.855"
"BY21103E","SGXZ63314439","14 Oct 2021","19 Oct 2021","18 Oct 2022",12,3600,5820.868,"1.62","0.60","99.402","0.38","99.621","0.36","99.641"
"BS21121Z","SGXZ28606044","28 Oct 2021","02 Nov 2021","03 May 2022",6,3900,8976.861,"2.30","0.46","99.771","0.40","99.801","0.32","99.840"
"BS21122S","SGXZ58289547","11 Nov 2021","16 Nov 2021","17 May 2022",6,3900,8685.413,"2.23","0.49","99.756","0.43","99.786","0.30","99.850"
"BS21123H","SGXZ33678194","25 Nov 2021","30 Nov 2021","31 May 2022",6,4300,8903.697,"2.07","0.55","99.726","0.49","99.756","0.43","99.786"
"BS21124T","SGXZ82883216","09 Dec 2021","14 Dec 2021","14 Jun 2022",6,3800,8884.828,"2.34","0.55","99.726","0.50","99.751","0.42","99.791"
"BS21125X","SGXZ49329907","23 Dec 2021","28 Dec 2021","28 Jun 2022",6,3900,10704.498,"2.74","0.53","99.736","0.42","99.791","0.36","99.820"
"BS22100S","SGXZ94462934","06 Jan 2022","11 Jan 2022","12 Jul 2022",6,4300,8712.528,"2.03","0.55","99.726","0.50","99.751","0.44","99.781"
