Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BS19102W","SGXZ25811357","25 Jul 2019","30 Jul 2019","28 Jan 2020",6,3800,10424.082,"2.74","1.84","99.083","1.77","99.117","1.51","99.247"
"BY19102E","SGXZ42609545","26 Jul 2019","31 Jul 2019","31 Jul 2020",12,2700,8022.396,"2.97","1.78","98.215","1.76","98.235","1.64","98.356"
"BS19103N","SGXZ72388416","06 Aug 2019","13 Aug 2019","11 Feb 2020",6,3400,7063.638,"2.08","1.82","99.092","1.77","99.117","1.67","99.167"
"BS19104V","SGXZ65932600","22 Aug 2019","27 Aug 2019","25 Feb 2020",6,3700,8828.336,"2.39","1.83","99.088","1.72","99.142","1.43","99.287"
"BS19105A","SGXZ18132621","05 Sep 2019","10 Sep 2019","10 Mar 2020",6,3900,8418.503,"2.16","1.83","99.088","1.77","99.117","1.51","99.247"
"BS19106E","SGXZ63794333","19 Sep 2019","24 Sep 2019","24 Mar 2020",6,3700,7496.745,"2.03","1.83","99.088","1.73","99.137","1.41","99.297"
"BS19107F","SGXZ37416310","03 Oct 2019","08 Oct 2019","07 Apr 2020",6,3500,6611.925,"1.89","1.81","99.097","1.77","99.117","1.71","99.147"
"BS19108Z","SGXZ32282568","17 Oct 2019","22 Oct 2019","21 Apr 2020",6,3400,8314.538,"2.45","1.72","99.142","1.65","99.177","1.35","99.327"
"BY19103F","SGXZ66623596","25 Oct 2019","31 Oct 2019","31 Oct 2020",12,2800,7759.649,"2.77","1.64","98.356","1.60","98.396","1.57","98.426"
"BS19109S","SGXZ57141277","31 Oct 2019","05 Nov 2019","05 May 2020",6,3700,8271.727,"2.24","1.68","99.162","1.62","99.192","1.53","99.237"
"BS19110V","SGXZ32652505","14 Nov 2019","19 Nov 2019","19 May 2020",6,3500,7989.343,"2.28","1.58","99.212","1.50","99.252","1.38","99.312"
"BS19111A","SGXZ45385242","27 Nov 2019","03 Dec 2019","02 Jun 2020",6,4000,8359.493,"2.09","1.65","99.177","1.58","99.212","1.45","99.277"
"BS19112E","SGXZ44705366","12 Dec 2019","17 Dec 2019","16 Jun 2020",6,3700,10333.369,"2.79","1.72","99.142","1.65","99.177","1.51","99.247"
"BS19113F","SGXZ37736717","23 Dec 2019","31 Dec 2019","30 Jun 2020",6,3700,8014.056,"2.17","1.79","99.107","1.71","99.147","1.66","99.172"
"BS20100T","SGXZ77442838","09 Jan 2020","14 Jan 2020","14 Jul 2020",6,3800,11047.785,"2.91","1.58","99.212","1.53","99.237","1.42","99.292"
