Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BS13101F","SG6X40986848","21 Jan 2013","24 Jan 2013","25 Jul 2013",6,2000,4100.132,"2.05","0.26","99.870","0.23","99.885","0.22","99.890"
"BQ13104A","SG6X32986764","28 Jan 2013","31 Jan 2013","02 May 2013",3,2000,3469.787,"1.73","0.23","99.943","0.14","99.965","0.13","99.968"
"BQ13111E","SG6Y47988317","04 Feb 2013","07 Feb 2013","09 May 2013",3,2000,3111.289,"1.56","0.28","99.930","0.18","99.955","0.15","99.963"
"BS13102Z","SG6X41986854","04 Feb 2013","07 Feb 2013","12 Aug 2013",6,2000,3445.656,"1.72","0.29","99.852","0.25","99.873","0.23","99.883"
"BQ13105E","SG6X33986771","08 Feb 2013","14 Feb 2013","16 May 2013",3,2000,3533.535,"1.77","0.26","99.935","0.17","99.958","0.17","99.958"
"BQ13112F","SG6Y48988324","18 Feb 2013","21 Feb 2013","23 May 2013",3,2000,3403.272,"1.70","0.28","99.930","0.15","99.963","0.16","99.960"
"BS13103S","SG6X42986861","18 Feb 2013","21 Feb 2013","22 Aug 2013",6,2000,3649.026,"1.82","0.29","99.855","0.27","99.865","0.26","99.870"
"BQ13106F","SG6X34986788","25 Feb 2013","28 Feb 2013","30 May 2013",3,2000,4000.366,"2.00","0.22","99.945","0.10","99.975","0.13","99.968"
"BQ13113Z","SG6Y49988331","04 Mar 2013","07 Mar 2013","06 Jun 2013",3,2000,3259.775,"1.63","0.27","99.933","0.22","99.945","0.19","99.953"
"BS13104H","SG6X43986878","04 Mar 2013","07 Mar 2013","05 Sep 2013",6,2000,3894.562,"1.95","0.28","99.860","0.25","99.875","0.24","99.880"
"BQ13107Z","SG6X35986795","11 Mar 2013","14 Mar 2013","13 Jun 2013",3,2000,4038.093,"2.02","0.26","99.935","0.15","99.963","0.17","99.958"
"BQ13114S","SG6Y50988345","18 Mar 2013","21 Mar 2013","20 Jun 2013",3,2000,3727.039,"1.86","0.26","99.935","0.19","99.953","0.17","99.958"
"BS13105T","SG6X44986885","18 Mar 2013","21 Mar 2013","19 Sep 2013",6,2000,4102.196,"2.05","0.26","99.870","0.24","99.880","0.20","99.900"
"BQ13108S","SG6X36986802","25 Mar 2013","28 Mar 2013","27 Jun 2013",3,2000,4710.642,"2.36","0.22","99.945","0.10","99.975","0.11","99.973"
"BS13106X","SG6X45986892","01 Apr 2013","04 Apr 2013","04 Oct 2013",6,2800,5071.046,"1.81","0.24","99.880","0.20","99.900","0.18","99.910"
