Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ11135S","SG6P26970451","05 Sep 2011","08 Sep 2011","08 Dec 2011",3,3900,6560,"1.68","0.22","99.945","0.10","99.975","0.12","99.970"
"BQ11136H","SG6P29970482","12 Sep 2011","15 Sep 2011","15 Dec 2011",3,3900,6216.721,"1.59","0.20","99.950","0.10","99.975","0.12","99.970"
"BQ11137T","SG6P34970535","19 Sep 2011","22 Sep 2011","22 Dec 2011",3,3900,6942.696,"1.78","0.17","99.958","0.10","99.975","0.10","99.975"
"BQ11138X","SG6P31970504","26 Sep 2011","29 Sep 2011","29 Dec 2011",3,3900,5533.927,"1.42","0.30","99.925","0.15","99.963","0.15","99.963"
"BQ11139W","SG6P25970445","03 Oct 2011","06 Oct 2011","05 Jan 2012",3,3900,6937.671,"1.78","0.25","99.938","0.16","99.960","0.16","99.960"
"BQ11140Z","SG6P27970468","10 Oct 2011","13 Oct 2011","12 Jan 2012",3,4000,6172.059,"1.54","0.29","99.928","0.20","99.950","0.18","99.955"
"BQ11141S","SG6P28970475","17 Oct 2011","20 Oct 2011","19 Jan 2012",3,4000,6284.051,"1.57","0.30","99.925","0.20","99.950","0.20","99.950"
"BQ11142H","SG6P43970617","24 Oct 2011","27 Oct 2011","26 Jan 2012",3,4000,5797.56,"1.45","0.33","99.918","0.23","99.943","0.22","99.945"
"BY11101W","SG7Y74964271","27 Oct 2011","01 Nov 2011","01 Nov 2012",12,3600,6948.998,"1.93","0.30","99.699","0.25","99.749","0.24","99.759"
"BQ11143T","SG6P30970497","31 Oct 2011","03 Nov 2011","02 Feb 2012",3,4000,6955.936,"1.74","0.33","99.918","0.23","99.943","0.23","99.943"
"BQ11144X","SG6P33970528","08 Nov 2011","10 Nov 2011","09 Feb 2012",3,4000,6676.976,"1.67","0.32","99.920","0.20","99.950","0.21","99.948"
"BQ11145W","SG6P35970542","14 Nov 2011","17 Nov 2011","16 Feb 2012",3,4000,6198.639,"1.55","0.35","99.913","0.24","99.940","0.23","99.943"
"BQ11146N","SG6P36970558","21 Nov 2011","24 Nov 2011","23 Feb 2012",3,4000,7396.987,"1.85","0.31","99.923","0.25","99.938","0.23","99.943"
"BQ11147V","SG6P37970565","28 Nov 2011","01 Dec 2011","01 Mar 2012",3,4000,6430.59,"1.61","0.35","99.913","0.28","99.930","0.27","99.933"
"BQ11148A","SG6P38970572","05 Dec 2011","08 Dec 2011","08 Mar 2012",3,4000,5629.77,"1.41","0.38","99.905","0.25","99.938","0.26","99.935"
