Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ11149E","SG6P39970589","12 Dec 2011","15 Dec 2011","15 Mar 2012",3,4000,6441.527,"1.61","0.38","99.905","0.20","99.950","0.24","99.940"
"BQ11150X","SG6P40970594","19 Dec 2011","22 Dec 2011","22 Mar 2012",3,4000,6910.142,"1.73","0.38","99.905","0.25","99.938","0.26","99.935"
"BQ11151W","SG6P41970601","27 Dec 2011","29 Dec 2011","29 Mar 2012",3,4000,6649.3,"1.66","0.37","99.908","0.30","99.925","0.27","99.933"
"BQ12100W","SG6R06976120","30 Dec 2011","05 Jan 2012","05 Apr 2012",3,4000,6526.631,"1.63","0.39","99.903","0.30","99.925","0.29","99.928"
"BQ12101N","SG6R07976137","09 Jan 2012","12 Jan 2012","12 Apr 2012",3,4000,6726.192,"1.68","0.33","99.918","0.20","99.950","0.22","99.945"
"BQ12102V","SG6R29976354","16 Jan 2012","19 Jan 2012","19 Apr 2012",3,4000,5832.805,"1.46","0.34","99.915","0.25","99.938","0.23","99.943"
"BQ12103A","SG6R28976348","20 Jan 2012","26 Jan 2012","26 Apr 2012",3,4000,5714.905,"1.43","0.35","99.913","0.25","99.938","0.23","99.943"
"BQ12104E","SG6R27976331","30 Jan 2012","02 Feb 2012","03 May 2012",3,4000,6721.075,"1.68","0.32","99.920","0.25","99.938","0.23","99.943"
"BQ12105F","SG6R26976324","06 Feb 2012","09 Feb 2012","10 May 2012",3,4000,6399.353,"1.60","0.33","99.918","0.23","99.943","0.22","99.945"
"BQ12106Z","SG6R25976317","13 Feb 2012","16 Feb 2012","17 May 2012",3,4000,6875.299,"1.72","0.32","99.920","0.23","99.943","0.20","99.950"
"BQ12107S","SG6R08976144","20 Feb 2012","23 Feb 2012","24 May 2012",3,4000,6605.508,"1.65","0.35","99.913","0.25","99.938","0.24","99.940"
"BQ12108H","SG6R31976376","27 Feb 2012","01 Mar 2012","31 May 2012",3,4000,6868.88,"1.72","0.34","99.915","0.25","99.938","0.24","99.940"
"BQ12109T","SG6R24976300","05 Mar 2012","08 Mar 2012","07 Jun 2012",3,4000,6947.822,"1.74","0.30","99.925","0.24","99.940","0.21","99.948"
"BQ12110E","SG6R23976293","12 Mar 2012","15 Mar 2012","14 Jun 2012",3,4000,7938.013,"1.98","0.27","99.933","0.22","99.945","0.20","99.950"
"BQ12111F","SG6R22976286","19 Mar 2012","22 Mar 2012","21 Jun 2012",3,4000,6517.251,"1.63","0.29","99.928","0.20","99.950","0.20","99.950"
