Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ13109H","SG6X37986819","08 Apr 2013","11 Apr 2013","11 Jul 2013",3,2000,5161.259,"2.58","0.17","99.958","0.09","99.978","0.09","99.978"
"BS13107W","SG6X46986909","15 Apr 2013","18 Apr 2013","18 Oct 2013",6,2800,5365.862,"1.92","0.26","99.870","0.22","99.890","0.19","99.905"
"BQ13110A","SG6X38986826","22 Apr 2013","25 Apr 2013","25 Jul 2013",3,2000,3660.959,"1.83","0.22","99.945","0.15","99.963","0.14","99.965"
"BY13100H","SG6X05986163","26 Apr 2013","02 May 2013","02 May 2014",12,4000,9405.763,"2.35","0.25","99.750","0.20","99.800","0.19","99.810"
"BS13108N","SG6X47986916","29 Apr 2013","02 May 2013","01 Nov 2013",6,2800,6168.942,"2.20","0.24","99.880","0.21","99.895","0.18","99.910"
"BQ13115H","SG6Y51988351","06 May 2013","09 May 2013","12 Aug 2013",3,2000,3772.356,"1.89","0.20","99.948","0.13","99.966","0.11","99.971"
"BS13109V","SG6X48986923","13 May 2013","16 May 2013","15 Nov 2013",6,2800,5252.816,"1.88","0.27","99.865","0.20","99.900","0.18","99.910"
"BQ13116T","SG6Y52988368","20 May 2013","23 May 2013","22 Aug 2013",3,2000,3754.939,"1.88","0.21","99.948","0.14","99.965","0.13","99.968"
"BS13110H","SG6X49986930","27 May 2013","30 May 2013","29 Nov 2013",6,2800,4587.79,"1.64","0.31","99.845","0.26","99.870","0.23","99.885"
"BQ13117X","SG6Y53988375","03 Jun 2013","06 Jun 2013","05 Sep 2013",3,2000,4348.6,"2.17","0.22","99.945","0.14","99.965","0.15","99.963"
"BS13111T","SG6X50986944","10 Jun 2013","13 Jun 2013","13 Dec 2013",6,2800,4328.201,"1.55","0.31","99.845","0.26","99.870","0.23","99.885"
"BQ13118W","SG6Y54988382","17 Jun 2013","20 Jun 2013","19 Sep 2013",3,2000,3650.72,"1.83","0.26","99.935","0.17","99.958","0.16","99.960"
"BS13112X","SG6X51986950","24 Jun 2013","27 Jun 2013","27 Dec 2013",6,2800,4517.522,"1.61","0.35","99.825","0.22","99.890","0.20","99.900"
"BS13113W","SG55B9991264","08 Jul 2013","11 Jul 2013","10 Jan 2014",6,2800,6393.109,"2.28","0.30","99.850","0.24","99.880","0.22","99.890"
"BS13114N","SG55C0991279","22 Jul 2013","25 Jul 2013","24 Jan 2014",6,2800,4863.144,"1.74","0.31","99.845","0.28","99.860","0.23","99.885"
