Issue Code,ISIN Code,Auction Date,Issue Date,Maturity Date,Auction Tenor (Month),Auction Amount (S$M),Amount Applied (S$M),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
"BQ10100V","SG7U07949104","04 Jan 2010","07 Jan 2010","08 Apr 2010",3,3500,5538.936,"1.58","0.60","99.850","0.00","0.000","0.50","99.875"
"BQ10101A","SG7U31949401","11 Jan 2010","14 Jan 2010","15 Apr 2010",3,3400,7488.262,"2.20","0.53","99.868","0.00","0.000","0.46","99.885"
"BQ10102E","SG7U20949230","18 Jan 2010","21 Jan 2010","22 Apr 2010",3,3400,7806.972,"2.30","0.48","99.880","0.00","0.000","0.43","99.893"
"BQ10103F","SG7U19949225","25 Jan 2010","28 Jan 2010","29 Apr 2010",3,3400,6951.402,"2.04","0.45","99.888","0.00","0.000","0.40","99.900"
"BQ10104Z","SG7U26949291","01 Feb 2010","04 Feb 2010","06 May 2010",3,3400,7768.236,"2.28","0.40","99.900","0.38","99.905","0.37","99.908"
"BQ10105S","SG7U18949218","08 Feb 2010","11 Feb 2010","13 May 2010",3,3500,6951.05,"1.99","0.37","99.908","0.35","99.913","0.33","99.918"
"BQ10106H","SG7U17949201","12 Feb 2010","18 Feb 2010","20 May 2010",3,3500,6887.203,"1.97","0.40","99.900","0.32","99.920","0.32","99.920"
"BQ10107T","SG7U16949194","22 Feb 2010","25 Feb 2010","27 May 2010",3,3500,7670.524,"2.19","0.38","99.905","0.32","99.920","0.31","99.923"
"BQ10108X","SG7U15949187","01 Mar 2010","04 Mar 2010","03 Jun 2010",3,3500,6688.228,"1.91","0.40","99.900","0.34","99.915","0.33","99.918"
"BQ10109W","SG7U14949170","08 Mar 2010","11 Mar 2010","10 Jun 2010",3,3500,7793.135,"2.23","0.37","99.908","0.32","99.920","0.32","99.920"
"BQ10110Z","SG7U13949163","15 Mar 2010","18 Mar 2010","17 Jun 2010",3,3500,8407.339,"2.40","0.36","99.910","0.30","99.925","0.30","99.925"
"BQ10111S","SG7U12949156","22 Mar 2010","25 Mar 2010","24 Jun 2010",3,3500,7927.275,"2.26","0.33","99.918","0.30","99.925","0.29","99.928"
"BQ10112H","SG7U11949140","29 Mar 2010","01 Apr 2010","01 Jul 2010",3,3500,6769.276,"1.93","0.33","99.918","0.29","99.928","0.28","99.930"
"BQ10113T","SG7U10949133","05 Apr 2010","08 Apr 2010","08 Jul 2010",3,3500,6428.854,"1.84","0.35","99.913","0.30","99.925","0.29","99.928"
"BQ10114X","SG7U27949308","12 Apr 2010","15 Apr 2010","15 Jul 2010",3,3500,6208.425,"1.77","0.35","99.913","0.30","99.925","0.28","99.930"
